100 kDa ileum brush border membrane protei	3.4.17.21
Lysine N-methyltransferase	2.1.1.43
Lysine N-methyltransferase 2	2.1.1.43
Lysine N-methyltransferase 3	2.1.1.43
Lysine N-methyltransferase 5	2.1.1.43
Lysine-N-oxygenas	1.14.13.59
Lysine/ornithine decarboxylas	4.1.1.18
Lysine-sensitive aspartokinase	2.7.2.4
Lysine-sensitive aspartokinase II	2.7.2.4
Lysine specific cysteine proteas	3.4.22.47
Lysine-specific cysteine proteinas	3.4.22.47
Lysine-specific cysteine proteinase Kg	3.4.22.47
Lysine-specific demethylase	1.14.11.-
Lysine-specific demethylase 2	1.14.11.27
Lysine-specific demethylase 3	1.14.11.-
Lysine-specific demethylase 3A-	1.14.11.-
Lysine-specific demethylase 4	1.14.11.-
Lysine-specific demethylase 4D-lik	1.14.11.-
Lysine-specific demethylase 5	1.14.11.-
Lysine-specific demethylase 5B-	1.14.11.-
Lysine-specific demethylase 6	1.14.11.-
Lysine-specific demethylase 7	1.14.11.-
Lysine-specific demethylase li	1.14.11.-
Lysine-specific demethylase NO6	1.14.11.27
Lysine-specific demethylase rbr-	1.14.11.-
Lysine-specific histone demethylase	1.-.-.-
Lysine-specific histone demethylase 1	1.-.-.-
Lysine-specific histone demethylase 1 homolog	1.-.-.-
Lysine--tRNA ligas	6.1.1.6
Lysine--tRNA ligase	6.1.1.6
Lysis protei	3.2.1.17
Lysis protei	3.4.-.-
Lysis protein R	3.4.-.-
Lysocardiolipin acyltransferase	2.3.1.51
Lysolecithin acylhydrolas	3.1.1.5
Lyso-N-acylphosphatidylethanolamine lipas	3.1.1.-
Lyso-PAF-PL	3.1.4.12
Lyso-PC acy	2.3.1.-
Lyso-PC acyltransferas	2.3.1.-
lyso-PC acyltransferas	2.3.1.23
Lyso-PC acyltransferase	2.3.1.-
LysoPC acyltransferase	2.3.1.-
Lyso-PE acyltransferas	2.3.1.-
Lysophos	2.3.1.-
Lysophosphatidic acid acyltransferas	2.3.1.51
Lysophosphatidic acid acyltransferas	2.3.1.n4
Lysophosphatidic acid acyltransferase alph	2.3.1.51
Lysophosphatidic acid acyltransferase bet	2.3.1.51
Lysophosphatidic acid acyltransferase delt	2.3.1.51
Lysophosphatidic acid acyltransferase epsilo	2.3.1.51
Lysophosphatidic acid acyltransferase gamm	2.3.1.51
Lysophosphatidic acid acyltransferase ICT	2.3.1.51
Lysophosphatidic acid acyltransferase thet	2.3.1.15
Lysophosphatidic acid acyltransferase theta-lik	2.3.1.15
Lysophosphatidic acid acyltransferase zet	2.3.1.15
Lysophosphatidic acid phosphatase type	3.1.3.2
Lysophosphatidic acid synthas	2.3.1.15
Lysophosphatidic acid synthas	2.3.1.n3
Lysophosphatidic acid synthase	2.3.1.n3
Lysophosphatidyl acyltransferase	2.3.1.51
Lysophosphatidylcholine acyltr	2.3.1.51
Lysophosphatidylcholine acyltransferas	2.3.1.-
Lysophosphatidylcholine acyltransferas	2.3.1.23
Lysophosphatidylcholine acyltransferase 2	2.3.1.-
Lysophosphatidylcholine acyltransferase	2.3.1.-
Lysophosphatidylethanolamine acyltransferas	2.3.1.-
Lysophosphatidylethanolamine acyltransferas	2.3.1.51
Lysophosphatidylethanolamine acyltransferase	2.3.1.-
Lysophosphatidylinositol acyltransferas	2.3.1.-
Lysophosphatidylserine acyltransferas	2.3.1.-
Lysophospholipas	3.1.1.4
Lysophospholipas	3.1.1.5
Lysophospholipase	2.3.1.-
Lysophospholipase	3.1.1.5
Lysophospholipase	3.1.2.-
Lysophospholipase homolo	3.1.1.23
Lysophospholipase I	3.1.2.-
Lysophospholipase L	3.1.1.5
Lysophospholipase L	3.1.2.-
Lysophospholipase-lik	3.1.1.23
Lysophospholipase-like protein	3.1.2.-
Lysophospholipase nte-	3.1.1.5
Lysophospholipase nte	3.1.1.5
Lysophospholipase NTE	3.1.1.5
Lysophospholipid acyltransferas	2.3.1.51
Lysophospholipid acyltransferase	2.3.1.-
Lysophospholipid acyltransferase LPCAT	2.3.1.-
Lyso-PI acyltransferas	2.3.1.-
Lysopine synthas	1.5.1.16
LysoPL	3.1.4.39
LysoPLA	3.1.2.-
LysoPLA I	3.1.2.-
Lyso-platelet-activating factor-phospholipase	3.1.4.12
Lyso-PS acyltransferas	2.3.1.-
Lysosomal acid alpha-glucosidas	3.2.1.20
Lysosomal acid alpha-mannosidas	3.2.1.24
Lysosomal acid lipase/cholesteryl ester hydrolas	3.1.1.13
Lysosomal acid phosphatas	3.1.3.2
Lysosomal alpha-glucosidas	3.2.1.20
Lysosomal alpha-mannos	3.2.1.24
Lysosomal alpha-mannosidas	3.2.1.24
Lysosomal alpha-mannosidase A peptid	3.2.1.24
Lysosomal alpha-mannosidase B peptid	3.2.1.24
Lysosomal apyrase-like protein	3.6.1.-
Lysosomal apyrase-like protein of 70 kD	3.6.1.6
Lysosomal aspartic proteas	3.4.23.-
Lysosomal beta A mannosidas	3.2.1.25
Lysosomal beta glucosidas	3.2.1.21
Lysosomal carboxypeptidase	3.4.16.2
Lysosomal cytochrome	1.-.-.-
Lysosomal DNase I	3.1.22.1
Lysosomal pepstatin-insensitive proteas	3.4.14.9
Lysosomal phospholipase A	2.3.1.-
Lysosomal protectiv	3.4.16.5
Lysosomal protective protei	3.4.16.5
Lysosomal protective protein 20 kDa chai	3.4.16.5
Lysosomal protective protein 32 kDa chai	3.4.16.5
Lysosomal Pro-X carboxypeptidas	3.4.16.2
Lysosomal sialidas	3.2.1.18
Lysosomal thioesterase PPT2-	3.1.2.-
Lysosomal thioesterase PPT2 homolo	3.1.2.-
Lysosomal thioesterase PPT	3.1.2.-
Lysostaphi	3.4.24.75
Lysozym	3.2.1.14
Lysozym	3.2.1.17
Lysozym	3.4.24.-
Lysozyme-	3.2.1.17
Lysozyme	3.2.1.17
Lysozyme	3.2.1.n3
Lysozyme A/	3.2.1.17
Lysozyme C-1/C-	3.2.1.17
Lysozyme C	3.2.1.-
Lysozyme c-	3.2.1.17
Lysozyme C-	3.2.1.17
Lysozyme C	3.2.1.17
Lysozyme C I	3.2.1.17
Lysozyme C, intestinal isozym	3.2.1.17
Lysozyme C, kidney isozym	3.2.1.17
Lysozyme C, milk isozym	3.2.1.17
Lysozyme C, non-stomach isozym	3.2.1.17
Lysozyme C, spleen isozym	3.2.1.17
Lysozyme C, tracheal isozym	3.2.1.17
Lysozyme C type	3.2.1.17
Lysozyme g-like protein	3.2.1.-
Lysozyme-like glycosidas	3.2.1.-
Lysozyme-like peptid	3.2.1.17
Lysozyme-like protein	3.2.1.17
Lysozyme M	3.2.1.17
Lysozyme type I	3.2.1.17
LysR	6.1.1.6
LysRS	6.1.1.6
Lysyl aminopeptidas	3.4.11.15
Lysyl aminopeptidas	3.4.11.2
Lysyl endopeptidas	3.4.21.50
Lysyl hydroxylas	1.14.11.4
Lysyl hydroxylase	1.14.11.4
Lysyl-hydroxylase JMJD	1.14.11.-
Lysyl-hydroxylase JMJD6-	1.14.11.-
Lysyl oxidas	1.4.3.13
Lysyl oxidase	1.4.3.-
Lysyl oxidase homolog	1.4.3.-
Lysyl oxidase-like protein	1.4.3.-
Lysyl oxidase-related protein	1.4.3.-
Lysyl oxidase-related protein WS9-1	1.4.3.-
Lysylphosphatidylglycerol biosynthesis bifunctional protein Lys	6.1.1.6
Lysylphosphatidylglycerol synthas	2.3.2.3
Lysylphosphatidylglycerol synthetas	6.1.1.6
Lysyl-tRNA synthetas	6.1.1.6
Lysyl-tRNA synthetase	6.1.1.6
Lysyl-tRNA synthetase, cytoplasmi	6.1.1.6
Lysyl-tRNA synthetase, heat inducibl	6.1.1.6
Lysyl-tRNA synthetase, mitochondria	6.1.1.6
Lytic amidas	3.5.1.28
Lytic enzym	3.2.1.17
M	1.1.1.40
M120	2.7.7.-
M185	3.1.3.48
M1.BsuM	2.1.1.37
M1 family aminopeptidas	3.4.11.-
M1G-methyltransferas	2.1.1.31
M1P	5.3.1.23
M1PD	1.1.1.17
M1Pi	5.3.1.23
M	2.1.1.13
M	2.3.3.9
M-	2.4.1.17
m25O	1.14.99.38
M	2.7.1.36
M2.BsuM	2.1.1.37
M2D	1.1.1.67
M	3.1.1.4
M	3.4.23.-
M	3.4.23.16
M	3.4.24.65
m3-OST-3	2.8.2.30
M42C6	1.1.1.-
M	5.1.2.2
M86L protei	3.6.1.15
MA	1.4.3.4
MA	2.5.1.18
MA	2.5.1.6
MA	3.4.11.18
Ma-	4.4.-.-
MAA	5.2.1.2
MAAI	5.2.1.2
M.AaoHemK	2.1.1.-
M.Abr	2.1.1.72
MAC	3.4.22.61
M.Acc	2.1.1.72
maCER	3.5.1.23
Machado-Joseph disease-like protei	3.1.2.15
Machado-Joseph disease protein 1 homolo	3.1.2.15
Machado-Joseph disease protein 1-lik	3.1.2.15
Machado-Joseph disease protein	3.1.2.15
MAC-NO	1.14.13.39
MAC protein 3	6.3.2.-
Macrodontain-	3.4.22.-
Macrodontain	3.4.22.-
Macrodontain I	3.4.22.-
Macrolide-binding protei	5.2.1.8
Macrolide export ATP-binding/permease protein mac	3.6.3.-
Macrolide export ATP-binding/permease protein macB 1/	3.6.3.-
Macrolide export ATP-binding/permease protein macB	3.6.3.-
Macrolide glycosyltransferas	2.4.1.-
Macrolide-lincosamide-streptogramin B resistance protei	2.1.1.48
Macropain beta chai	3.4.25.1
Macropain chain	3.4.25.1
Macropain delta chai	3.4.25.1
Macropain epsilon chai	3.4.25.1
Macropain iota chai	3.4.25.1
Macropain subunit C1	3.4.25.1
Macropain subunit C	3.4.25.1
Macropain subunit C7-	3.4.25.1
Macropain subunit C7-alph	3.4.25.1
Macropain subunit MECl-	3.4.25.1
Macropain subunit PRE	3.4.25.1
Macropain subunit pts	3.4.25.1
Macropain subunit PUP	3.4.25.1
Macropain subunit Y1	3.4.25.1
Macropain subunit Y	3.4.25.1
Macropain zeta chai	3.4.25.1
Macrophage 23 kDa stress protei	1.11.1.15
Macrophage colony-stimulating factor 1 recepto	2.7.10.1
Macrophage colony-stimulating factor 1 receptor	2.7.10.1
Macrophage cysteine-rich glycoprotei	3.4.24.-
Macrophage elastas	3.4.24.65
Macrophage infectivity potentiato	5.2.1.8
Macrophage metalloelastas	3.4.24.65
Macrophage migration inhibitory facto	5.3.2.1
Macrophage migration inhibitory factor homolo	5.3.2.1
Macrophage migration inhibitory factor homolo	5.3.3.12
Macrophage NO	1.14.13.39
Macrophage-stimulating protein recepto	2.7.10.1
Macrophage-stimulating protein receptor alpha chai	2.7.10.1
Macrophage-stimulating protein receptor beta chai	2.7.10.1
mACS	6.2.1.3
MAD	1.4.99.3
MAD	3.4.19.-
MAD3/BUB1-related protein kinas	2.7.11.1
mADAT	3.5.4.-
MADDA	3.4.24.-
MAD homolog 4-interacting transcription coactivator	3.-.-.-
M.Age	2.1.1.37
Magnesium-activated aldehyde dehydrogenase, cytosoli	1.2.1.3
Magnesium-chelatase 30 kDa subuni	6.6.1.1
Magnesium-chelatase 38 kDa subuni	6.6.1.1
Magnesium-chelatase 60 kDa subuni	6.6.1.1
Magnesium-chelatase 67 kDa subuni	6.6.1.1
Magnesium-chelatase subunit	6.6.1.1
Magnesium-chelatase subunit chl	6.6.1.1
Magnesium-chelatase subunit Chl	6.6.1.1
Magnesium-chelatase subunit chlD, chloroplasti	6.6.1.1
Magnesium-chelatase subunit chlI, chloroplasti	6.6.1.1
Magnesium-dependent calcium inhibitable phosphatas	3.1.3.16
Magnesium-dependent phosphatase	3.1.3.-
Magnesium-protoporphyrin IX methyltransferas	2.1.1.11
Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclas	1.14.13.-
Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclas	1.14.13.81
Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase	1.14.13.81
Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase 1, chloroplasti	1.14.13.81
Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase 2, chloroplasti	1.14.13.81
Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase, chloroplasti	1.14.13.81
Magnesium-protoporphyrin O-methyltransferas	2.1.1.11
Magnesium-transporting ATPase, P-type	3.6.3.2
mAgo	3.1.26.n2
Mahogunin RING finger protein	6.3.2.-
Maintenance of killer protein	2.3.1.88
Maintenance of killer protein	3.6.4.13
Maintenance of killer protein	5.99.1.2
Major 85 kDa surface antige	3.2.1.18
Major allergen Asp f	3.1.27.-
Major allergen Bla g	2.5.1.18
Major allergen Der p	2.5.1.18
Major allergen Epi p	3.4.21.-
Major androgen-regulated protei	1.11.1.9
Major autolysi	3.5.1.28
Major cysteine proteinas	3.4.22.51
Major excreted protei	3.4.22.15
Major extracellular endoglucanas	3.2.1.4
Major intracellular serine proteas	3.4.21.-
Major iron-containing protei	4.2.1.3
Major larval surface antige	1.2.1.12
Major mite fecal allergen Der f	3.4.22.65
Major mite fecal allergen Der m	3.4.22.65
Major mite fecal allergen Der p	3.4.22.65
Major NAD(P)H-flavin oxidoreductas	1.6.99.-
Major outer membrane protein Pan	1.7.2.1
Major phosphate-irrepressible acid phosphatas	3.1.3.2
Major pollen allergen Cha o	3.2.1.15
Major pollen allergen Cry j	3.2.1.15
Major pollen allergen Jun a	3.2.1.15
Major serine/threonine-protein phosphatase PP2A-2 catalytic subuni	3.1.3.16
Major surface antige	3.2.1.18
Major surface antigen gp2	1.11.1.9
Major surface glycoprotei	3.4.24.36
Major surface proteas	3.4.24.36
Major teichoic acid biosynthesis protein	2.4.1.187
Major teichoic acid biosynthesis protein	2.4.1.52
Major teichoic acid biosynthesis protein	2.7.8.-
Major teichoic acid biosynthesis protein	2.7.8.12
Makorin RING finger protein pseudogene	6.3.2.-
MAK-related kinas	2.7.11.22
M-AL	3.1.3.1
Ma-l	4.4.-.-
Malate--CoA ligase subunit alph	6.2.1.9
Malate--CoA ligase subunit bet	6.2.1.9
Malate dehydrogenas	1.1.1.37
Malate dehydrogenase	1.1.1.37
Malate dehydrogenase 1, glyoxysoma	1.1.1.37
Malate dehydrogenase 1, mitochondria	1.1.1.37
Malate dehydrogenase 2, glyoxysoma	1.1.1.37
Malate dehydrogenase 2, mitochondria	1.1.1.37
Malate dehydrogenase, chloroplasti	1.1.1.37
Malate dehydrogenase, cytoplasmi	1.1.1.37
Malate dehydrogenase, cytoplasmic	1.1.1.37
Malate dehydrogenase, glyoxysoma	1.1.1.37
Malate dehydrogenase, mitochondria	1.1.1.37
Malate dehydrogenase [NADP] 1, chloroplasti	1.1.1.82
Malate dehydrogenase [NADP] 2, chloroplasti	1.1.1.82
Malate dehydrogenase [NADP], chloroplasti	1.1.1.82
Malate dehydrogenase, peroxisoma	1.1.1.37
Malate dehydrogenase [quinone]	1.1.5.4
Malate dehydrogenase [quinone	1.1.5.4
Malate kinase senso	2.7.13.3
Malate/L-sulfolactate dehydrogenas	1.1.1.37
Malate:quinone oxidoreductas	1.1.5.4
Malate synthas	2.3.3.9
Malate synthas	4.1.3.1
Malate synthase 1, glyoxysoma	2.3.3.9
Malate synthase	2.3.3.9
Malate synthase 2, glyoxysoma	2.3.3.9
Malate synthase G	2.3.3.9
Malate synthase, glyoxysoma	2.3.3.9
Malate thiokinas	6.2.1.9
Male germ cell-associated kinas	2.7.11.22
Males-absent on the first protei	2.3.1.-
Male-specific histocompatibility antigen H-YD	1.14.11.-
Male sterility domain-containing protein	1.2.1.n2
Male sterility protein	1.2.1.n2
Maleylacetate reductas	1.3.1.32
Maleylacetate reductase	1.3.1.32
maleylacetate reductase I	1.3.1.32
Maleylacetate reductase I	1.3.1.32
Maleylacetoacetate isomeras	5.2.1.2
Maleylacetone isomeras	2.5.1.18
Maleylpyruvate isomeras	5.2.1.4
Mal f	1.11.1.15
Mali	6.3.2.-
Malic enzym	1.1.1.38
Malic enzyme	1.1.1.38
Malic enzyme	1.1.1.40
Malic enzyme, hydrogenosoma	1.1.1.40
Malolactic enzym	1.-.-.-
Malonate decarboxylase holo-[acyl-carrier-protein] synthas	2.7.7.66
Malonate semialdehyde dehydrogenase [acetylating]	1.2.1.27
Malonate semialdehyde dehydrogenase [acetylating	1.2.1.27
Malonate-semialdehyde dehydrogenase [acylating	1.2.1.27
Malonyl acyl-carrier-protein decarboxylas	4.1.1.87
Malonyl-CoA:ACP transferas	2.3.1.39
Malonyl CoA-acyl carrier protein transacylas	2.3.1.39
Malonyl-CoA-acyl carrier protein transacylas	2.3.1.39
Malonyl CoA-acyl carrier protein transacylase, mitochondria	2.3.1.39
Malonyl-CoA-acyl carrier protein transacylase, mitochondria	2.3.1.39
Malonyl-CoA decarboxylase, mitochondria	4.1.1.9
Maltas	3.2.1.20
Maltase	3.2.1.20
Maltase-glucoamylase, intestina	3.2.1.20
MALT lymphoma-associated translocatio	3.4.22.-
Maltodextrin glucosidas	3.2.1.20
Maltodextrin import ATP-binding protein msm	3.6.3.-
Maltodextrin phosphorylas	2.4.1.1
Maltogenic alpha-amylas	3.2.1.133
Maltohexaose-producing amylas	3.2.1.98
Maltooligosyl trehalose synthas	5.4.99.15
Malto-oligosyltrehalose trehalohydrolas	3.2.1.141
Maltooligosyl trehalose trehalohydrolas	3.2.1.141
Maltose-6'-phosphate glucosidas	3.2.1.122
Maltose-6'-phosphate glucosidase mal	3.2.1.122
Maltose-6-phosphate hydrolas	3.2.1.122
Maltose alpha-D-glucosyltransferas	5.4.99.16
Maltose and glucose permease IIC componen	2.7.1.69
Maltose- and glucose-specific phosphotransferase enzyme IIB componen	2.7.1.69
Maltose/maltodextrin import ATP-binding protein Mal	3.6.3.19
Maltose O-acetyltransferas	2.3.1.79
Maltose permease IIC componen	2.7.1.69
Maltose regulon modulato	4.4.1.8
Maltose-specific phosphotransferase enzyme IIB componen	2.7.1.69
Maltose transacetylas	2.3.1.79
Maltotetraose-forming amylas	3.2.1.60
Maltotetraose-forming exo-amylas	3.2.1.60
M.Alu	2.1.1.37
Malyl-CoA synthetas	6.2.1.9
mAm	3.4.11.9
Mammalian disintegrin-metalloproteas	3.4.24.81
Mammalian STE20-like protein kinase	2.7.11.1
Mammalian target of rapamyci	2.7.11.1
Mammalian tolloid protei	3.4.24.19
Mammalian toxi	3.1.4.41
Man	3.2.1.78
Man(9)-alpha-mannosidas	3.2.1.113
Man(9)-alpha-mannosidase 1	3.2.1.113
Man9GlcNAc2-specific-processing alpha-mannosidas	3.2.1.113
Man9-mannosidas	3.2.1.113
Mandaseli	3.2.1.130
Mandelate racemas	5.1.2.2
Manganese catalas	1.11.1.6
Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenas	1.13.11.39
Manganese-dependent ADP-ribose/CDP-alcohol diphosphatas	3.6.1.13
Manganese-dependent inorganic pyrophosphatas	3.6.1.1
Manganese(II) purple acid phosphatase	3.1.3.2
Manganese peroxidas	1.11.1.13
Manganese peroxidase	1.11.1.13
Manganese peroxidase H	1.11.1.13
Manganese peroxidase isozyme	1.11.1.13
Man I	3.2.1.114
Man II	3.2.1.114
ManNAc-6-P epimeras	5.1.3.9
ManNAc-6-P epimerase	5.1.3.9
ManNAc kinas	2.7.1.60
ManNAc kinas	5.1.3.9
Mannanas	3.2.1.25
Mannanase	3.2.1.25
Mannanase	3.2.1.78
Mannan-binding lecti	3.2.1.-
Mannan-binding lectin serine protease 2 A chai	3.4.21.104
Mannan-binding lectin serine protease 2 B chai	3.4.21.104
Mannan-binding lectin serine protease	3.4.21.-
Mannan-binding lectin serine protease	3.4.21.104
Mannan endo-1,4-beta-mannosidas	3.2.1.78
Mannan endo-1,4-beta-mannosidase	3.2.1.78
Mannan endo-1,4-beta-mannosidase A and	3.2.1.78
Mannan endo-1,6-alpha-mannosidase DCW	3.2.1.101
Mannan endo-1,6-alpha-mannosidase DFG	3.2.1.101
Mannan polymerase II complex HOC1 subuni	2.4.-.-
Mannan polymerase II complex MNN10 subuni	2.4.1.-
Mannan polymerase II complex MNN11 subuni	2.4.1.-
Mannan synthase	2.4.1.-
Mannan synthase	2.4.1.32
Mannas	3.2.1.25
Mannase	3.2.1.25
Mannitol-1-phosphate 5-dehydrogenas	1.1.1.17
Mannitol 2-dehydrogenas	1.1.1.67
Mannitol 2-dehydrogenase [NADP+	1.1.1.138
Mannitol dehydrogenas	1.1.1.255
Mannitol dehydrogenase DSF	1.1.1.-
Mannitol operon transcriptional activato	2.7.1.69
Mannitol permease IIC componen	2.7.1.69
Mannitol-specific cryptic phosphotransferase enzyme IIA componen	2.7.1.-
Mannitol-specific phosphotransferase enzyme IIA componen	2.7.1.-
Mannitol-specific phosphotransferase enzyme IIB componen	2.7.1.69
Manno(fructo)kinas	2.7.1.4
Mannokinas	2.7.1.2
Mannonate dehydratas	4.2.1.8
Mannonate dehydratase	4.2.1.8
Mannose-1-phosphate guanyltransferas	2.7.7.13
Mannose-1-phosphate guanyltransferase	2.7.7.13
Mannose-1-phosphate guanyltransferase alph	2.7.7.13
Mannose-1-phosphate guanyltransferase alpha-	2.7.7.13
Mannose-1-phosphate guanyltransferase bet	2.7.7.13
Mannose-1-phosphate guanyltransferase beta-	2.7.7.13
Mannose-1-phosphate guanylyltransferas	2.7.7.13
Mannose-1-phosphate guanylyl transferas	5.3.1.8
Mannose-1-phosphate guanylyltransferas	5.3.1.8
Mannose-1-phosphate guanylyltransferase	2.7.7.13
Mannose-1-phosphate guanylyltransferase man	2.7.7.13
Mannose-1-phosphate guanylyltransferase rfb	2.7.7.13
Mannose-6-phosphate isomeras	5.3.1.8
Mannose-6-phosphate isomeras	5.3.1.9
Mannose-6-phosphate isomerase man	5.3.1.8
Mannose 6-phosphate-uncovering enzym	3.1.4.45
Mannose-binding lectin-associated serine protease	3.4.21.-
Mannose-binding protein-associated serine proteas	3.4.21.-
Mannose-binding protein-associated serine protease	3.4.21.104
Mannose-P-dolichol synthas	2.4.1.83
Mannose permease IIC componen	2.7.1.69
Mannose-specific phosphotransferase enzyme IIA componen	2.7.1.-
Mannose-specific phosphotransferase enzyme IIB componen	2.7.1.-
Mannose-specific phosphotransferase enzyme IIB componen	2.7.1.69
Mannosidase-	3.2.1.113
Mannosidase alpha-	3.2.1.24
Mannosidase alpha class 1A member	3.2.1.113
Mannosidase alpha class 1B member	3.2.1.113
Mannosidase alpha class 1C member	3.2.1.113
Mannosidase alpha class 2A member	3.2.1.114
Mannosidase alpha class 2B member	3.2.1.24
Mannosidase alpha class 2C member	3.2.1.24
Mannoside acetylglucosaminyltransferase	2.4.1.143
Mannoside acetylglucosaminyltransferase	2.4.1.155
Mannoside acetylglucosaminyltransferase 5	2.4.1.155
Mannosyl-3-phosphoglycerate phosphatas	3.1.3.70
Mannosyl-3-phosphoglycerate synthas	2.4.1.217
Mannosyl diphosphorylinositol ceramide synthas	2.-.-.-
Mannosylglycoprotein endo-beta-mannosidas	3.2.1.152
Mannosylglycoprotein endo-beta-mannosidase 28 kDa subuni	3.2.1.152
Mannosylglycoprotein endo-beta-mannosidase 31 kDa subuni	3.2.1.152
Mannosylglycoprotein endo-beta-mannosidase 42 kDa subuni	3.2.1.152
Mannosyl-glycoprotein endo-beta-N-acetyl-glucosaminidas	3.2.1.96
Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidas	3.5.1.28
Mannosyl-glycoprotein endo-beta-N-acetyl-glucosaminidase	3.2.1.96
Mannosyl-glycoprotein endo-beta-N-acetyl-glucosaminidase F	3.2.1.96
Mannosyl-oligosaccharide 1,2-alpha-mannosidas	3.2.1.113
Mannosyl-oligosaccharide 1,2-alpha-mannosidase C52E4.	3.2.1.113
Mannosyl-oligosaccharide 1,2-alpha-mannosidase I	3.2.1.113
Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidas	3.2.1.114
Mannosyl-oligosaccharide alpha-1,2-mannosidas	3.2.1.113
Mannosyl-oligosaccharide alpha-1,2-mannosidase 1	3.2.1.113
Mannosyl-oligosaccharide alpha-1,2-mannosidase isoform	3.2.1.113
Mannosyl-oligosaccharide glucosidas	3.2.1.106
Mannosylphosphate transferase MNN	2.4.1.131
Mannosyl phosphorylinositol ceramide synthase CSH	2.-.-.-
Mannosyl phosphorylinositol ceramide synthase SUR	2.4.-.-
Mannosyltransferase-	2.4.1.142
Mannosyltransferase ALG1	2.4.1.-
Mannosyltransferase ALG12 homolo	2.4.1.-
Mannosyltransferase KTR	2.4.1.131
Mannuronan epimerase	5.1.3.-
MAO-	1.4.-.-
MAO-	1.4.3.4
MAOX	1.4.3.21
MAOXI	1.4.3.21
MAP 1	3.4.11.18
MAP 2	3.4.11.18
MAP	2.7.11.24
MAP-	3.2.2.22
MAP 3	3.2.2.22
MAP-	3.4.11.18
MAP	3.4.11.18
mAP	3.4.11.2
M.ApaL	2.1.1.37
MAPK 1	2.7.11.24
MAPK 14	2.7.11.24
MAPK	2.7.11.24
MAPK	2.7.12.2
MAPK 8	2.7.11.24
MAPK-activated protein kinase 1	2.7.11.1
MAPK-activated protein kinase	2.7.11.1
MAPKAPK-	2.7.11.1
MAPKAP kinase	2.7.11.1
MAPK/ERK kinase	2.7.11.25
MAPK-ERK kinase	2.7.12.2
MAPK/ERK kinase	2.7.12.2
MAPK/ERK kinase kinase 1	2.7.11.25
MAPK/ERK kinase kinase	2.7.11.25
MAPK/ERK kinase kinase kinase	2.7.11.1
MAP kinase 1	2.7.11.24
MAP kinase 14	2.7.11.24
MAP kinase 2	2.7.11.24
MAP kinase	2.7.11.24
MAP kinase 8	2.7.11.24
MAP kinase-activated prot	2.7.11.1
MAP kinase-activated protein kinase 1	2.7.11.1
MAP kinase-activated protein kinase	2.7.11.1
MAP kinase cascade	2.7.11.1
MAP kinase ERK	2.7.11.24
MAP kinase FUS	2.7.11.24
MAP kinase ho	2.7.11.24
MAP kinase hog-	2.7.11.24
MAP kinase hog	2.7.11.24
MAP kinase Hog	2.7.11.24
MAP kinase HOG	2.7.11.24
MAP kinase-interacting serine/threonine-protein kinase	2.7.11.1
MAP kinase isoform p4	2.7.11.24
MAP kinase isoform p6	2.7.11.24
MAP kinase isoform p9	2.7.11.24
MAP kinase kinase	2.7.12.2
MAP kinase kinase kinase	2.7.11.25
MAP kinase kinase kinase mkh	2.7.11.25
MAP kinase kinase kinase SSK2	2.7.11.1
MAP kinase kinase kinase SSK	2.7.11.25
MAP kinase kinase kinase wak	2.7.11.25
MAP kinase kinase kinase wik	2.7.11.25
MAP kinase kinase kinase win	2.7.11.25
MAP kinase kinase kinase wis	2.7.11.25
MAP kinase kinase mek-	2.7.12.2
MAP kinase kinase MKK1/SSP3	2.7.12.2
MAP kinase kinase mkk-	2.7.12.2
MAP kinase kinase MKK2/SSP3	2.7.12.2
MAP kinase kinase PBS	2.7.12.2
MAP kinase kinase skh1/pek	2.7.12.2
MAP kinase KSS	2.7.11.24
MAP kinase MKC	2.7.11.24
MAP kinase Mkp	2.7.11.24
MAP kinase MPK	2.7.11.24
MAP kinase MSK	2.7.11.24
MAP kinase OSC	2.7.11.24
MAP kinase p38	2.7.11.24
MAP kinase p38 alph	2.7.11.24
MAP kinase p38 bet	2.7.11.24
MAP kinase p38 delt	2.7.11.24
MAP kinase p38 gamm	2.7.11.24
MAP kinase p49 3F1	2.7.11.24
MAP kinase phosphatase	3.1.3.48
MAP-kinase phosphatase CPG2	3.1.3.48
MAP kinase phosphatase with leucine-rich repeats protein	3.1.3.48
MAP kinase pmk	2.7.11.24
MAP kinase signal-integrating kinase	2.7.11.1
MAP kinase SMK	2.7.11.24
MAP kinase spc	2.7.11.24
MAP kinase spk	2.7.11.24
MAP kinase spm	2.7.11.24
MAP kinase STK	2.7.11.24
MAP kinase sty	2.7.11.24
MAP kinase sur-	2.7.11.24
MAP kinase tmk	2.7.11.24
MAPKK	2.7.11.25
MAPKK	2.7.12.2
MAPK kinas	2.7.12.2
MAPK kinase kinas	2.7.11.25
