(+)-abscisic acid 8'-hydroxylase	1.14.13.93
dTDP-dihydrostreptose-streptidine-6-phosphatedihydrostreptosyltransferase	2.4.2.27
dTDP-galactose 6-dehydrogenase	1.1.1.186
dTDP-glucose 4,6-dehydratase	4.2.1.46
dTMP kinase	2.7.4.9
dUTP diphosphatase	3.6.1.23
dactylysin	3.4.24.60
dammarenediol-II synthase	4.2.1.B2 (preliminary BRENDA-supplied EC number)
deacetoxycephalosporin-C hydroxylase	1.14.11.26
deacetoxycephalosporin-C synthase	1.14.20.1
deacetoxyvindoline 4-hydroxylase	1.14.11.20
deacetyl-[citrate-(pro-3S)-lyase] S-acetyltransferase	2.3.1.49
deacetylcephalosporin-C acetyltransferase	2.3.1.175
deacetylipecoside synthase	4.3.3.4
deacetylisoipecoside synthase	4.3.3.3
deacetylvindoline O-acetyltransferase	2.3.1.107
decylcitrate synthase	2.3.3.2
decylhomocitrate synthase	2.3.3.4
dehydrogluconate dehydrogenase	1.1.99.4
dehydrogluconokinase	2.7.1.13
delphinidin 3',5'-O-glucosyltransferase	2.4.1.B5 (preliminary BRENDA-supplied EC number)
demethylmacrocin O-methyltransferase	2.1.1.102
demethylsterigmatocystin 6-O-methyltransferase	2.1.1.109
deoxyadenosine kinase	2.7.1.76
deoxycytidine deaminase	3.5.4.14
deoxycytidine kinase	2.7.1.74
deoxycytidylate 5-hydroxymethyltransferase	2.1.2.8
deoxycytidylate C-methyltransferase	2.1.1.54
deoxyguanosine kinase	2.7.1.113
deoxyhypusine monooxygenase	1.14.99.29
deoxyhypusine synthase	2.5.1.46
deoxynucleoside kinase	2.7.1.145
deoxynucleotide 3'-phosphatase	3.1.3.34
deoxyribodipyrimidine endonucleosidase	3.2.2.17
deoxyribodipyrimidine photo-lyase	4.1.99.3
deoxyribonuclease (pyrimidine dimer)	3.1.25.1
deoxyribonuclease I	3.1.21.1
deoxyribonuclease II	3.1.22.1
deoxyribonuclease IV (phage-T4-induced)	3.1.21.2
deoxyribonuclease V	3.1.21.7
deoxyribonuclease X	3.1.22.5
deoxysarpagine hydroxylase	1.14.13.91
deoxyuridine phosphorylase	2.4.2.23
dephospho-CoA kinase	2.7.1.24
dephospho-[reductase kinase] kinase	2.7.11.3
desulfoglucosinolate sulfotransferase	2.8.2.24
deuterolysin	3.4.24.39
dextran 1,6-alpha-isomaltotriosidase	3.2.1.95
dextranase	3.2.1.11
dextransucrase	2.4.1.5
dextrin dextranase	2.4.1.2
di-trans,poly-cis-decaprenylcistransferase	2.5.1.31
diacylglycerol O-acyltransferase	2.3.1.20
diacylglycerol cholinephosphotransferase	2.7.8.2
diacylglycerol kinase	2.7.1.107
diacylglycerol pyrophosphate phosphatase	3.1.3.B2 (preliminary BRENDA-supplied EC number)
diacylglycerol-sterol O-acyltransferase	2.3.1.73
diadenosine 5',5''''-P1,P4-tetraphosphate synthase(diphosphate-forming)	2.7.99.B1 (preliminary BRENDA-supplied EC number)
diamine N-acetyltransferase	2.3.1.57
diamine oxidase	1.4.3.22
diamine transaminase	2.6.1.29
diaminobutyrate acetyltransferase	2.3.1.178
diaminobutyrate decarboxylase	4.1.1.86
diaminobutyrate-2-oxoglutarate transaminase	2.6.1.76
diaminobutyrate-pyruvate transaminase	2.6.1.46
diaminohydroxyphosphoribosylaminopyrimidine deaminase	3.5.4.26
diaminopimelate dehydrogenase	1.4.1.16
dibenzothiophene dihydrodiol dehydrogenase	1.3.1.60
dichloromethane dehalogenase	4.5.1.3
dichloromuconate cycloisomerase	5.5.1.11
diethyl 2-methyl-3-oxosuccinate reductase	1.1.1.229
diferric-transferrin reductase	1.16.1.2
difructose-anhydride synthase	3.2.1.134
digalactosyldiacylglycerol synthase	2.4.1.241
diglucosyl diacylglycerol synthase	2.4.1.208
diguanidinobutanase	3.5.3.20
diguanylate cyclase	2.7.7.65
dihydrobunolol dehydrogenase	1.1.1.160
dihydrocarveol dehydrogenase	1.1.1.296
dihydrocoumarin hydrolase	3.1.1.35
dihydrodipicolinate reductase	1.3.1.26
dihydrodipicolinate synthase	4.2.1.52
dihydrofolate reductase	1.5.1.3
dihydrofolate synthase	6.3.2.12
dihydrokaempferol 4-reductase	1.1.1.219
dihydrolipoyl dehydrogenase	1.8.1.4
dihydrolipoyllysine-residue (2-methylpropanoyl)transferase	2.3.1.168
dihydrolipoyllysine-residue acetyltransferase	2.3.1.12
dihydrolipoyllysine-residue succinyltransferase	2.3.1.61
dihydroorotase	3.5.2.3
dihydroorotate dehydrogenase	1.3.5.2
dihydroorotate oxidase	1.3.3.1
dihydropteroate synthase	2.5.1.15
dihydropyrimidinase	3.5.2.2
dihydropyrimidine dehydrogenase (NADP+)	1.3.1.2
dihydrostreptomycin-6-phosphate 3'alpha-kinase	2.7.1.88
dihydrouracil dehydrogenase (NAD+)	1.3.1.1
dihydrouracil oxidase	1.3.3.7
dihydroxy-acid dehydratase	4.2.1.9
dihydroxyphenylalanine transaminase	2.6.1.49
diiodophenylpyruvate reductase	1.1.1.96
diiodotyrosine transaminase	2.6.1.24
diisopropyl-fluorophosphatase	3.1.8.2
dimethylallylcistransferase	2.5.1.28
dimethylallyltranstransferase	2.5.1.1
dimethylamine dehydrogenase	1.5.8.1
dimethylargininase	3.5.3.18
dimethylglycine N-methyltransferase	2.1.1.161
dimethylglycine dehydrogenase	1.5.99.2
dimethylglycine oxidase	1.5.3.10
dimethylhistidine N-methyltransferase	2.1.1.44
dimethylmalate dehydrogenase	1.1.1.84
dimethylmaleate hydratase	4.2.1.85
dimethylpropiothetin dethiomethylase	4.4.1.3
dioxotetrahydropyrimidine phosphoribosyltransferase	2.4.2.20
dipeptidase E	3.4.13.21
dipeptidyl-dipeptidase	3.4.14.6
dipeptidyl-peptidase I	3.4.14.1
dipeptidyl-peptidase II	3.4.14.2
dipeptidyl-peptidase III	3.4.14.4
dipeptidyl-peptidase IV	3.4.14.5
diphosphate-fructose-6-phosphate 1-phosphotransferase	2.7.1.90
diphosphate-glycerol phosphotransferase	2.7.1.79
diphosphate-purine nucleoside kinase	2.7.1.143
diphosphate-serine phosphotransferase	2.7.1.80
diphosphoinositol-pentakisphosphate kinase	2.7.4.24
diphosphoinositol-polyphosphate diphosphatase	3.6.1.52
diphthine synthase	2.1.1.98
discadenine synthase	2.5.1.24
disulfoglucosamine-6-sulfatase	3.1.6.11
divinyl chlorophyllide a 8-vinyl-reductase	1.3.1.75
dodecanoyl-[acyl-carrier-protein] hydrolase	3.1.2.21
dodecenoyl-CoA isomerase	5.3.3.8
dolichol O-acyltransferase	2.3.1.123
dolichol kinase	2.7.1.108
dolichyl-diphosphate-polyphosphate phosphotransferase	2.7.4.20
dolichyl-diphosphooligosaccharide-protein glycotransferase	2.4.1.119
dolichyl-phosphatase	3.1.3.51
dolichyl-phosphate D-xylosyltransferase	2.4.2.32
dolichyl-phosphate alpha-N-acetylglucosaminyltransferase	2.4.1.153
dolichyl-phosphate beta-D-mannosyltransferase	2.4.1.83
dolichyl-phosphate beta-glucosyltransferase	2.4.1.117
dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase	2.4.1.130
dolichyl-phosphate-mannose-protein mannosyltransferase	2.4.1.109
dolichyl-xylosyl-phosphate-protein xylosyltransferase	2.4.2.33
dolichyldiphosphatase	3.6.1.43
dolichylphosphate-glucose phosphodiesterase	3.1.4.48
dolichylphosphate-mannose phosphodiesterase	3.1.4.49
dopamine beta-monooxygenase	1.14.17.1
double-stranded uracil-DNA glycosylase	3.2.2.B3 (preliminary BRENDA-supplied EC number)
dual-specificity kinase	2.7.12.1
duodenase	3.4.21.B3 (preliminary BRENDA-supplied EC number)
dynamin GTPase	3.6.5.5
dynein ATPase	3.6.4.2
ecdysone 20-monooxygenase	1.14.99.22
ecdysone O-acyltransferase	2.3.1.139
ecdysone oxidase	1.1.3.16
ectoine synthase	4.2.1.108
electron-transferring-flavoprotein dehydrogenase	1.5.5.1
elisabethatriene synthase	4.2.3.41
elongation factor 2 kinase	2.7.11.20
enamidase	3.5.2.18
endo-1,3(4)-beta-glucanase	3.2.1.6
endo-1,4-beta-xylanase	3.2.1.8
endo-alpha-sialidase	3.2.1.129
endogalactosaminidase	3.2.1.109
endoglycosylceramidase	3.2.1.123
endopolyphosphatase	3.6.1.10
endothelin-converting enzyme 1	3.4.24.71
enoyl-CoA hydratase	4.2.1.17
enoyl-CoA hydratase 2	4.2.1.B3 (preliminary BRENDA-supplied EC number)
enoyl-[acyl-carrier-protein] reductase (NADH)	1.3.1.9
enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific)	1.3.1.39
enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific)	1.3.1.10
ent-cassa-12,15-diene synthase	4.2.3.28
ent-copalyl diphosphate synthase	5.5.1.13
ent-kaurene oxidase	1.14.13.78
ent-kaurene synthase	4.2.3.19
ent-kaurenoic acid oxidase	1.14.13.79
ent-pimara-8(14),15-diene synthase	4.2.3.30
ent-pimara-9(11),15-diene synthase	4.2.3.31
ent-sandaracopimaradiene synthase	4.2.3.29
enteropeptidase	3.4.21.9
envelysin	3.4.24.12
enzyme-thiol transhydrogenase (glutathione-disulfide)	1.8.4.7
ephedrine dehydrogenase	1.5.1.18
epi-cedrol synthase	4.2.3.39
epi-isozizaene 5-monooxygenase	1.14.13.106
epi-isozizaene synthase	4.2.3.37
equine arterivirus serine peptidase	3.4.21.114
equine infectious anemia virus proteinase	3.4.23.B3 (preliminary BRENDA-supplied EC number)
erythritol kinase	2.7.1.27
erythrose-4-phosphate dehydrogenase	1.2.1.72
erythrulose reductase	1.1.1.162
estradiol 17alpha-dehydrogenase	1.1.1.148
estradiol 17beta-dehydrogenase	1.1.1.62
estradiol 6beta-monooxygenase	1.14.99.11
estrone sulfotransferase	2.8.2.4
ethanolamine ammonia-lyase	4.3.1.7
ethanolamine kinase	2.7.1.82
ethanolamine oxidase	1.4.3.8
ethanolamine-phosphate cytidylyltransferase	2.7.7.14
ethanolamine-phosphate phospho-lyase	4.2.3.2
ethanolaminephosphotransferase	2.7.8.1
ethylbenzene hydroxylase	1.17.99.2
ethylmalonyl-CoA mutase	5.4.99.B5 (preliminary BRENDA-supplied EC number)
exo-(1->4)-alpha-D-glucan lyase	4.2.2.13
exo-1,4-beta-D-glucosaminidase	3.2.1.165
exo-alpha-sialidase	3.2.1.18
exo-poly-alpha-galacturonosidase	3.2.1.82
exodeoxyribonuclease (lambda-induced)	3.1.11.3
exodeoxyribonuclease (phage SP3-induced)	3.1.11.4
exodeoxyribonuclease I	3.1.11.1
exodeoxyribonuclease III	3.1.11.2
exodeoxyribonuclease V	3.1.11.5
exodeoxyribonuclease VII	3.1.11.6
exopolyphosphatase	3.6.1.11
exoribonuclease H	3.1.13.2
exoribonuclease II	3.1.13.1
extracellular agarase	3.2.1.B1 (preliminary BRENDA-supplied EC number)
farnesol dehydrogenase	1.1.1.216
farnesyl-diphosphate kinase	2.7.4.18
farnesylgeranyltransferase	2.5.1.B1 (preliminary BRENDA-supplied EC number)
farnesyltranstransferase	2.5.1.29
fatty-acid O-methyltransferase	2.1.1.15
fatty-acid peroxidase	1.11.1.3
fatty-acid synthase	2.3.1.85
fatty-acyl-CoA synthase	2.3.1.86
fatty-acyl-CoA-transporting ATPase	3.6.3.47
fatty-acyl-ethyl-ester synthase	3.1.1.67
ferredoxin hydrogenase	1.12.7.2
ferredoxin-NAD+ reductase	1.18.1.3
ferredoxin-NADP+ reductase	1.18.1.2
ferredoxin-nitrate reductase	1.7.7.2
ferredoxin-nitrite reductase	1.7.7.1
ferric-chelate reductase	1.16.1.7
ferrochelatase	4.99.1.1
ferroxidase	1.16.3.1
feruloyl esterase	3.1.1.73
fibroblast activation protein alpha subunit	3.4.21.B28 (preliminary BRENDA-supplied EC number)
fibrolase	3.4.24.72
ficain	3.4.22.3
flavanone 3-dioxygenase	1.14.11.9
flavanone 4-reductase	1.1.1.234
flavanone 7-O-beta-glucosyltransferase	2.4.1.185
flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase	2.4.1.236
flavastacin	3.4.24.76
flavin adenine dinucleotide-dependent 4-phospho-D-erythronatedehydrogenase	1.1.99.B1 (preliminary BRENDA-supplied EC number)
flavin reductase	1.5.1.30
flavin-containing monooxygenase	1.14.13.8
flavin:NADH reductase	1.5.1.B1 (preliminary BRENDA-supplied EC number)
flavone 7-O-beta-glucosyltransferase	2.4.1.81
flavone apiosyltransferase	2.4.2.25
flavone synthase	1.14.11.22
flavonoid 3',5'-hydroxylase	1.14.13.88
flavonoid 3'-monooxygenase	1.14.13.21
flavonol 3-O-glucosyltransferase	2.4.1.91
flavonol 3-sulfotransferase	2.8.2.25
flavonol 7-O-beta-glucosyltransferase	2.4.1.237
flavonol synthase	1.14.11.23
flavonol-3-O-beta-glucoside O-malonyltransferase	2.3.1.116
flavonol-3-O-glucoside L-rhamnosyltransferase	2.4.1.159
flavonol-3-O-glucoside glucosyltransferase	2.4.1.239
flavonol-3-O-glycoside glucosyltransferase	2.4.1.240
flavonol-3-O-glycoside xylosyltransferase	2.4.2.35
flavonol-3-O-triglucoside O-coumaroyltransferase	2.3.1.173
fluoren-9-ol dehydrogenase	1.1.1.256
fluoroacetaldehyde dehydrogenase	1.2.1.69
fluorothreonine transaldolase	2.2.1.8
formaldehyde dehydrogenase	1.2.1.46
formaldehyde dismutase	1.2.99.4
formaldehyde transketolase	2.2.1.3
formamidase	3.5.1.49
formate C-acetyltransferase	2.3.1.54
formate dehydrogenase	1.2.1.2
formate dehydrogenase (NADP+)	1.2.1.43
formate dehydrogenase (cytochrome)	1.2.2.1
formate dehydrogenase (cytochrome-c-553)	1.2.2.3
formate kinase	2.7.2.6
formate-tetrahydrofolate ligase	6.3.4.3
formimidoylaspartate deiminase	3.5.3.5
formimidoylglutamase	3.5.3.8
formimidoylglutamate deiminase	3.5.3.13
formimidoyltetrahydrofolate cyclodeaminase	4.3.1.4
formyl-CoA hydrolase	3.1.2.10
formyl-CoA transferase	2.8.3.16
formylaspartate deformylase	3.5.1.8
formylmethanofuran-tetrahydromethanopterin N-formyltransferase	2.3.1.101
formylmethionine deformylase	3.5.1.31
formyltetrahydrofolate deformylase	3.5.1.10
formyltetrahydrofolate dehydrogenase	1.5.1.6
fragilysin	3.4.24.74
fructan beta-(2,1)-fructosidase	3.2.1.153
fructan beta-(2,6)-fructosidase	3.2.1.154
fructan beta-fructosidase	3.2.1.80
fructokinase	2.7.1.4
fructose 5-dehydrogenase	1.1.99.11
fructose 5-dehydrogenase (NADP+)	1.1.1.124
fructose-2,6-bisphosphate 2-phosphatase	3.1.3.46
fructose-2,6-bisphosphate 6-phosphatase	3.1.3.54
fructose-bisphosphatase	3.1.3.11
fructuronate reductase	1.1.1.57
fucoidanase	3.2.1.44
fucokinase	2.7.1.52
fucose-1-phosphate guanylyltransferase	2.7.7.30
fucosterol-epoxide lyase	4.1.2.33
fucosylgalactoside 3-alpha-galactosyltransferase	2.4.1.37
fumarate hydratase	4.2.1.2
fumarate reductase (NADH)	1.3.1.6
fumarylacetoacetase	3.7.1.2
fusarinine-C ornithinesterase	3.1.1.48
fusicocca-2,10(14)-diene synthase	4.2.3.43
futalosine hydrolase	3.2.2.26
galactan 1,3-beta-galactosidase	3.2.1.145
galactan endo-1,6-beta-galactosidase	3.2.1.164
galactarate O-hydroxycinnamoyltransferase	2.3.1.130
galactinol-raffinose galactosyltransferase	2.4.1.67
galactinol-sucrose galactosyltransferase	2.4.1.82
galactitol 2-dehydrogenase	1.1.1.16
galactitol-1-phosphate 5-dehydrogenase	1.1.1.251
galactogen 6beta-galactosyltransferase	2.4.1.205
galactokinase	2.7.1.6
galactolipase	3.1.1.26
galactolipid O-acyltransferase	2.3.1.134
galactolipid galactosyltransferase	2.4.1.184
galactonate dehydratase	4.2.1.6
galactose 1-dehydrogenase	1.1.1.48
galactose 1-dehydrogenase (NADP+)	1.1.1.120
galactose 1-epimerase	5.1.3.B1 (preliminary BRENDA-supplied EC number)
galactose oxidase	1.1.3.9
galactose-1-phosphate thymidylyltransferase	2.7.7.32
galactose-6-sulfurylase	2.5.1.5
galactoside 2-alpha-L-fucosyltransferase	2.4.1.69
galactoside O-acetyltransferase	2.3.1.18
galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramidebeta-1,6-N-acetylglucosaminyltransferase	2.4.1.164
galactosylacylglycerol O-acyltransferase	2.3.1.141
galactosylceramidase	3.2.1.46
galactosylceramide sulfotransferase	2.8.2.11
galactosyldiacylglycerol alpha-2,3-sialyltransferase	2.4.99.5
galactosylgalactosylglucosylceramidase	3.2.1.47
galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase	2.4.1.135
galactosylxylosylprotein 3-beta-galactosyltransferase	2.4.1.134
galacturan 1,4-alpha-galacturonidase	3.2.1.67
galacturonokinase	2.7.1.44
gallate 1-beta-glucosyltransferase	2.4.1.136
gametolysin	3.4.24.38
gamma-D-Glutamyl-meso-diaminopimelate peptidase	3.4.19.11
gamma-Glutamylhistamine synthase	6.3.2.18
gamma-Renin	3.4.21.54
gamma-butyrobetaine dioxygenase	1.14.11.1
gamma-glutamyl hydrolase	3.4.19.9
gamma-glutamyl-gamma-aminobutyrate hydrolase	3.5.1.94
gamma-glutamylcyclotransferase	2.3.2.4
gamma-glutamyltransferase	2.3.2.2
gamma-guanidinobutyraldehyde dehydrogenase	1.2.1.54
ganglioside galactosyltransferase	2.4.1.62
gastricsin	3.4.23.3
geissoschizine dehydrogenase	1.3.1.36
gelatinase A	3.4.24.24
gelatinase B	3.4.24.35
gentamicin 2''-nucleotidyltransferase	2.7.7.46
gentamicin 2'-N-acetyltransferase	2.3.1.59
gentamicin 3'-N-acetyltransferase	2.3.1.60
gentisate 1,2-dioxygenase	1.13.11.4
geraniol dehydrogenase	1.1.1.183
geranylgeraniol 18-hydroxylase	1.14.13.110
geranylgeranyl diphosphate diphosphatase	3.1.7.5
geranylgeranyl diphosphate reductase	1.3.1.83
geranylgeranylglycerol-phosphate geranylgeranyltransferase	2.5.1.42
geranyltranstransferase	2.5.1.10
germacradienol synthase	4.2.3.22
germacrene-A synthase	4.2.3.23
gibberellin 2beta-dioxygenase	1.14.11.13
gibberellin 3beta-dioxygenase	1.14.11.15
gibberellin beta-D-glucosyltransferase	2.4.1.176
gibberellin-44 dioxygenase	1.14.11.12
gingipain K	3.4.22.47
globoside alpha-N-acetylgalactosaminyltransferase	2.4.1.88
globotriaosylceramide 3-beta-N-acetylgalactosaminyltransferase	2.4.1.79
glucan 1,3-alpha-glucosidase	3.2.1.84
glucan 1,3-beta-glucosidase	3.2.1.58
glucan 1,4-alpha-glucosidase	3.2.1.3
glucan 1,4-alpha-maltohexaosidase	3.2.1.98
glucan 1,4-alpha-maltohydrolase	3.2.1.133
glucan 1,4-alpha-maltotetraohydrolase	3.2.1.60
glucan 1,4-alpha-maltotriohydrolase	3.2.1.116
glucan 1,4-beta-glucosidase	3.2.1.74
glucan 1,6-alpha-glucosidase	3.2.1.70
glucan 1,6-alpha-isomaltosidase	3.2.1.94
glucan endo-1,2-beta-glucosidase	3.2.1.71
glucan endo-1,3-alpha-glucosidase	3.2.1.59
glucan endo-1,3-beta-D-glucosidase	3.2.1.39
glucan endo-1,6-beta-glucosidase	3.2.1.75
glucarate O-hydroxycinnamoyltransferase	2.3.1.131
glucarate dehydratase	4.2.1.40
glucarolactone O-hydroxycinnamoyltransferase	2.3.1.132
glucokinase	2.7.1.2
glucomannan 4-beta-mannosyltransferase	2.4.1.32
gluconate 2-dehydrogenase	1.1.1.215
gluconate 2-dehydrogenase (acceptor)	1.1.99.3
gluconate 5-dehydrogenase	1.1.1.69
gluconokinase	2.7.1.12
gluconolactonase	3.1.1.17
glucooligosaccharide oxidase	1.1.99.B3 (preliminary BRENDA-supplied EC number)
glucosaminate ammonia-lyase	4.3.1.9
glucosamine N-acetyltransferase	2.3.1.3
glucosamine kinase	2.7.1.8
glucosamine-1-phosphate N-acetyltransferase	2.3.1.157
glucosamine-6-phosphate deaminase	3.5.99.6
glucosamine-phosphate N-acetyltransferase	2.3.1.4
glucosaminylgalactosylglucosylceramide beta-galactosyltransferase	2.4.1.86
glucose 1-dehydrogenase	1.1.1.47
glucose 1-dehydrogenase (NAD+)	1.1.1.118
glucose 1-dehydrogenase (NADP+)	1.1.1.119
glucose dehydrogenase (acceptor)	1.1.99.10
glucose oxidase	1.1.3.4
glucose-1,6-bisphosphate synthase	2.7.1.106
glucose-1-phosphatase	3.1.3.10
glucose-1-phosphate adenylyltransferase	2.7.7.27
glucose-1-phosphate cytidylyltransferase	2.7.7.33
glucose-1-phosphate guanylyltransferase	2.7.7.34
glucose-1-phosphate phosphodismutase	2.7.1.41
glucose-1-phosphate thymidylyltransferase	2.7.7.24
glucose-1-phospho-D-mannosylglycoprotein phosphodiesterase	3.1.4.51
glucose-6-phosphatase	3.1.3.9
glucose-6-phosphate dehydrogenase	1.1.1.49
glucose-fructose oxidoreductase	1.1.99.28
glucoside 3-dehydrogenase	1.1.99.13
glucosyl-DNA beta-glucosyltransferase	2.4.1.28
glucosylceramidase	3.2.1.45
glucosylglycerol 3-phosphatase	3.1.3.69
glucosylglycerol-phosphate synthase	2.4.1.213
glucuronan lyase	4.2.2.14
glucuronate reductase	1.1.1.19
glucuronate-1-phosphate uridylyltransferase	2.7.7.44
glucuronate-2-sulfatase	3.1.6.18
glucuronoarabinoxylan endo-1,4-beta-xylanase	3.2.1.136
glucuronokinase	2.7.1.43
glucuronolactone reductase	1.1.1.20
glucuronosyl-N-acetylgalactosaminyl-proteoglycan4-beta-N-acetylgalactosaminyltransferase	2.4.1.175
glucuronosyl-N-acetylglucosaminyl-proteoglycan4-alpha-N-acetylglucosaminyltransferase	2.4.1.224
glucuronosyl-disulfoglucosamine glucuronidase	3.2.1.56
glucuronosyltransferase	2.4.1.17
glucuronoxylan 4-O-methyltransferase	2.1.1.112
glucuronyl-galactosyl-proteoglycan4-alpha-N-acetylglucosaminyltransferase	2.4.1.223
glucuronylgalactosylproteoglycan4-beta-N-acetylgalactosaminyltransferase	2.4.1.174
glutaconate CoA-transferase	2.8.3.12
glutaconyl-CoA decarboxylase	4.1.1.70
glutamate 1-kinase	2.7.2.13
glutamate 5-kinase	2.7.2.11
glutamate N-acetyltransferase	2.3.1.35
glutamate carboxypeptidase	3.4.17.11
glutamate dehydrogenase	1.4.1.2
glutamate dehydrogenase (NADP+)	1.4.1.4
glutamate dehydrogenase [NAD(P)+]	1.4.1.3
glutamate formimidoyltransferase	2.1.2.5
glutamate synthase (NADH)	1.4.1.14
glutamate synthase (NADPH)	1.4.1.13
glutamate synthase (ferredoxin)	1.4.7.1
glutamate-1-semialdehyde 2,1-aminomutase	5.4.3.8
glutamate-5-semialdehyde dehydrogenase	1.2.1.41
glutamate-prephenate aminotransferase	2.6.1.79
glutamate-putrescine ligase	6.3.1.11
glutamate-tRNAGln ligase	6.1.1.24
glutamin-(asparagin-)ase	3.5.1.38
glutaminase	3.5.1.2
glutamine N-acyltransferase	2.3.1.68
glutamine N-phenylacetyltransferase	2.3.1.14
glutamine-fructose-6-phosphate transaminase (isomerizing)	2.6.1.16
glutamine-phenylpyruvate transaminase	2.6.1.64
glutamine-pyruvate transaminase	2.6.1.15
glutamine-scyllo-inositol transaminase	2.6.1.50
glutaminyl-peptide cyclotransferase	2.3.2.5
glutaminyl-tRNA synthase (glutamine-hydrolysing)	6.3.5.7
glutamyl aminopeptidase	3.4.11.7
glutamyl endopeptidase	3.4.21.19
glutamyl-Q-tRNA(Asp) ligase	6.1.1.B3 (preliminary BRENDA-supplied EC number)
glutamyl-tRNA reductase	1.2.1.70
glutarate-semialdehyde dehydrogenase	1.2.1.20
glutaryl-7-aminocephalosporanic-acid acylase	3.5.1.93
glutaryl-CoA dehydrogenase	1.3.99.7
glutathione dehydrogenase (ascorbate)	1.8.5.1
glutathione gamma-glutamylcysteinyltransferase	2.3.2.15
glutathione oxidase	1.8.3.3
glutathione peroxidase	1.11.1.9
glutathione thiolesterase	3.1.2.7
glutathione transferase	2.5.1.18
glutathione-CoA-glutathione transhydrogenase	1.8.4.3
glutathione-cystine transhydrogenase	1.8.4.4
glutathione-disulfide reductase	1.8.1.7
glutathione-homocystine transhydrogenase	1.8.4.1
glyceollin synthase	1.14.13.85
glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating)	1.2.1.59
glyceraldehyde-3-phosphate dehydrogenase (NADP+)	1.2.1.9
glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)	1.2.1.13
glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)	1.2.7.6
glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	1.2.1.12
glycerate 2-kinase	2.7.1.B2 (preliminary BRENDA-supplied EC number)
glycerate dehydrogenase	1.1.1.29
glycerate kinase	2.7.1.31
glycerol 2-dehydrogenase (NADP+)	1.1.1.156
glycerol dehydratase	4.2.1.30
glycerol dehydrogenase	1.1.1.6
glycerol dehydrogenase (NADP+)	1.1.1.72
glycerol dehydrogenase (acceptor)	1.1.99.22
glycerol kinase	2.7.1.30
glycerol-1,2-cyclic-phosphate 2-phosphodiesterase	3.1.4.42
glycerol-1-phosphatase	3.1.3.21
glycerol-1-phosphate dehydrogenase [NAD(P)+]	1.1.1.261
glycerol-2-phosphatase	3.1.3.19
glycerol-3-phosphate 1-dehydrogenase (NADP+)	1.1.1.177
glycerol-3-phosphate O-acyltransferase	2.3.1.15
glycerol-3-phosphate cytidylyltransferase	2.7.7.39
glycerol-3-phosphate dehydrogenase	1.1.5.3
glycerol-3-phosphate dehydrogenase (NAD+)	1.1.1.8
glycerol-3-phosphate dehydrogenase [NAD(P)+]	1.1.1.94
glycerol-3-phosphate oxidase	1.1.3.21
glycerol-3-phosphate-glucose phosphotransferase	2.7.1.142
glycerol-3-phosphate-transporting ATPase	3.6.3.20
glycerone kinase	2.7.1.29
glycerone-phosphate O-acyltransferase	2.3.1.42
glycerophosphocholine cholinephosphodiesterase	3.1.4.38
glycerophosphocholine phosphodiesterase	3.1.4.2
glycerophosphodiester phosphodiesterase	3.1.4.46
glycerophosphoinositol glycerophosphodiesterase	3.1.4.44
glycerophosphoinositol inositolphosphodiesterase	3.1.4.43
glyceryl-ether monooxygenase	1.14.16.5
glycine C-acetyltransferase	2.3.1.29
glycine N-acyltransferase	2.3.1.13
glycine N-benzoyltransferase	2.3.1.71
glycine N-methyltransferase	2.1.1.20
glycine amidinotransferase	2.1.4.1
glycine dehydrogenase	1.4.1.10
glycine dehydrogenase (cyanide-forming)	1.4.99.5
glycine dehydrogenase (cytochrome)	1.4.2.1
glycine dehydrogenase (decarboxylating)	1.4.4.2
glycine formimidoyltransferase	2.1.2.4
glycine hydroxymethyltransferase	2.1.2.1
glycine oxidase	1.4.3.19
glycine reductase	1.21.4.2
glycine transaminase	2.6.1.4
glycine-oxaloacetate transaminase	2.6.1.35
glycine-tRNA ligase	6.1.1.14
glycine/sarcosine N-methyltransferase	2.1.1.156
glycine/sarcosine/dimethylglycine N-methyltransferase	2.1.1.162
glycochenodeoxycholate sulfotransferase	2.8.2.34
glycogen(starch) synthase	2.4.1.11
glycogenin glucosyltransferase	2.4.1.186
glycolaldehyde dehydrogenase	1.2.1.21
glycolate dehydrogenase	1.1.99.14
glycolipid 2-alpha-mannosyltransferase	2.4.1.131
glycolipid 3-alpha-mannosyltransferase	2.4.1.132
glycopeptide alpha-N-acetylgalactosaminidase	3.2.1.97
glycoprotein 2-beta-D-xylosyltransferase	2.4.2.38
glycoprotein 3-alpha-L-fucosyltransferase	2.4.1.214
glycoprotein 6-alpha-L-fucosyltransferase	2.4.1.68
glycoprotein N-palmitoyltransferase	2.3.1.96
