1.1.1.198	(+)-borneol:NAD+ oxidoreductase
2.1.1.76	S-adenosyl-L-methionine:3,5,7,3',4'-pentahydroxyflavone3-O-methyltransferase
2.1.1.88	S-adenosyl-L-methionine:3,5,7,8,3',4'-hexahydroxyflavone8-O-methyltransferase
2.1.1.160	S-adenosyl-L-methionine:3,7-dimethylxanthine N1-methyltransferase
2.1.1.114	S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylateO-methyltransferase
2.1.1.99	S-adenosyl-L-methionine:3-hydroxy-16-methoxy-2,3-dihydrotabersonineN-methyltransferase
2.1.1.97	S-adenosyl-L-methionine:3-hydroxyanthranilate 4-C-methyltransferase
2.1.1.83	S-adenosyl-L-methionine:5,3',4'-trihydroxy-3,7-dimethoxyflavone4'-O-methyltransferase
2.1.1.84	S-adenosyl-L-methionine:5,6,3',4'-tetrahydroxy-3,7-dimethoxyflavone6-O-methyltransferase
2.1.1.82	S-adenosyl-L-methionine:5,7,3',4'-tetrahydroxy-3-methoxyflavone7-O-methyltransferase
2.1.1.42	S-adenosyl-L-methionine:5,7,3',4'-tetrahydroxyflavone3'-O-methyltransferase
2.1.1.75	S-adenosyl-L-methionine:5,7,4'-trihydroxyflavone 4'-O-methyltransferase
2.1.1.89	S-adenosyl-L-methionine:5,8,13,13a-tetrahydrocolumbamine2-O-methyltransferase
2.1.1.69	S-adenosyl-L-methionine:5-hydroxyfurocoumarin 5-O-methyltransferase
2.1.1.109	S-adenosyl-L-methionine:6-demethylsterigmatocystin6-O-methyltransferase
2.1.1.108	S-adenosyl-L-methionine:6-hydroxymellein 6-O-methyltransferase
2.1.1.159	S-adenosyl-L-methionine:7-methylxanthine N3-methyltransferase
2.6.1.62	S-adenosyl-L-methionine:8-amino-7-oxononanoate aminotransferase
2.1.1.70	S-adenosyl-L-methionine:8-hydroxyfurocoumarin 8-O-methyltransferase
2.1.1.37	S-adenosyl-L-methionine:DNA (cytosine-5-)-methyltransferase
2.1.1.10	S-adenosyl-L-methionine:L-homocysteine S-methyltransferase
2.1.1.12	S-adenosyl-L-methionine:L-methionine S-methyltransferase
2.1.1.106	S-adenosyl-L-methionine:L-tryptophan 2-C-methyltransferase
2.1.1.161	S-adenosyl-L-methionine:N,N-dimethylglycine N-methyltransferase(betaine-forming)
2.1.1.4	S-adenosyl-L-methionine:N-acetylserotonin O-methyltransferase
2.1.1.105	S-adenosyl-L-methionine:N-benzoyl-4-O-hydroxyanthranilate4-O-methyltransferase
2.1.1.2	S-adenosyl-L-methionine:N-guanidinoacetate methyltransferase
2.5.1.24	S-adenosyl-L-methionine:N6-(DELTA2-isopentenyl)-adenine3-(3-amino-3-carboxypropyl)-transferase
2.1.1.44	S-adenosyl-L-methionine:Nalpha,Nalpha-dimethyl-L-histidineNalpha-methyltransferase
2.1.1.38	S-adenosyl-L-methionine:O-demethylpuromycin O-methyltransferase
2.5.1.43	S-adenosyl-L-methionine:S-adenosyl-L-methionine:S-adenosyl-Lmethionine3-amino-3-carboxypropyltransferase
2.1.1.127	S-adenosyl-L-methionine:[3-phospho-D-glycerate-carboxy-lyase(dimerizing)]-lysine N6-methyltransferase
2.1.1.59	S-adenosyl-L-methionine:[cytochrome c]-L-lysine N6-methyltransferase
2.1.1.49	S-adenosyl-L-methionine:amine N-methyltransferase
2.1.1.111	S-adenosyl-L-methionine:anthranilate N-methyltransferase
2.1.1.137	S-adenosyl-L-methionine:arsenite As-methyltransferase
2.1.1.104	S-adenosyl-L-methionine:caffeoyl-CoA 3-O-methyltransferase
2.1.1.60	S-adenosyl-L-methionine:calmodulin-L-lysine N6-methyltransferase
2.1.1.22	S-adenosyl-L-methionine:carnosine N-methyltransferase
2.1.1.6	S-adenosyl-L-methionine:catechol O-methyltransferase
2.1.1.151	S-adenosyl-L-methionine:cobalt-factor-II C20-methyltransferase
2.1.1.118	S-adenosyl-L-methionine:columbamine O-methyltransferase
2.1.1.142	S-adenosyl-L-methionine:cycloartenol 24-C-methyltransferase
2.1.1.102	S-adenosyl-L-methionine:demethylmacrocin 2'''-O-methyltransferase
2.1.1.96	S-adenosyl-L-methionine:dimethyl-sulfide S-methyltransferase
2.1.1.103	S-adenosyl-L-methionine:ethanolamine-phosphate N-methyltransferase
2.1.1.15	S-adenosyl-L-methionine:fatty-acid O-methyltransferase
2.5.1.63	S-adenosyl-L-methionine:fluoride adenosyltransferase
2.1.1.95	S-adenosyl-L-methionine:gamma-tocopherol 5-O-methyltransferase
2.1.1.112	S-adenosyl-L-methionine:glucuronoxylan-D-glucuronate4-O-methyltransferase
2.1.1.20	S-adenosyl-L-methionine:glycine N-methyltransferase
2.1.1.162	S-adenosyl-L-methionine:glycine(or sarcosine or N,N-dimethylglycine)N-methyltransferase [sarcosine(or N,N-dimethylglycine orbetaine)-forming]
2.1.1.156	S-adenosyl-L-methionine:glycine(or sarcosine) N-methyltransferase[sarcosine(or N,N-dimethylglycine)-forming]
2.1.1.8	S-adenosyl-L-methionine:histamine N-tele-methyltransferase
2.1.1.43	S-adenosyl-L-methionine:histone-L-lysine N6-methyltransferase
2.1.1.125	S-adenosyl-L-methionine:histone-arginine Nomega-methyltransferase
2.1.1.150	S-adenosyl-L-methionine:hydroxyisoflavone 7-O-methyltransferase
2.1.1.146	S-adenosyl-L-methionine:isoeugenol O-methyltransferase
2.1.1.46	S-adenosyl-L-methionine:isoflavone 4'-O-methyltransferase
2.1.1.154	S-adenosyl-L-methionine:isoliquiritigenin 2'-O-methyltransferase
2.1.1.78	S-adenosyl-L-methionine:isoorientin 3'-O-methyltransferase
2.1.1.141	S-adenosyl-L-methionine:jasmonate O-methyltransferase
2.1.1.155	S-adenosyl-L-methionine:kaempferol 4'-O-methyltransferase
2.1.1.65	S-adenosyl-L-methionine:licodione 2'-O-methyltransferase
2.1.1.50	S-adenosyl-L-methionine:loganate 11-O-methyltransferase
2.1.1.56	S-adenosyl-L-methionine:mRNA (guanine-N7-)-methyltransferase
2.1.1.57	S-adenosyl-L-methionine:mRNA (nucleoside-2'-O-)-methyltransferase
2.1.1.62	S-adenosyl-L-methionine:mRNA(2'-O-methyladenosine-N6-)-methyltransferase
2.1.1.101	S-adenosyl-L-methionine:macrocin 3'''-O-methyltransferase
2.1.1.11	S-adenosyl-L-methionine:magnesium-protoporphyrin-IX O-methyltransferase
2.1.1.149	S-adenosyl-L-methionine:myricetin O-methyltransferase
2.1.1.1	S-adenosyl-L-methionine:nicotinamide N-methyltransferase
2.1.1.7	S-adenosyl-L-methionine:nicotinate N-methyltransferase
2.5.1.38	S-adenosyl-L-methionine:nocardicin-E 3-amino-3-carboxypropyltransferase
2.1.1.25	S-adenosyl-L-methionine:phenol O-methyltransferase
2.1.1.28	S-adenosyl-L-methionine:phenylethanolamine N-methyltransferase
2.1.1.71	S-adenosyl-L-methionine:phosphatidyl-N-methylethanolamineN-methyltransferase
2.1.1.17	S-adenosyl-L-methionine:phosphatidylethanolamine N-methyltransferase
2.1.1.152	S-adenosyl-L-methionine:precorrin-5 C1-methyltransferase(deacetylating)
2.1.1.100	S-adenosyl-L-methionine:protein-C-terminal-S-farnesyl-L-cysteineO-methyltransferase
2.1.1.80	S-adenosyl-L-methionine:protein-L-glutamate O-methyltransferase
2.1.1.85	S-adenosyl-L-methionine:protein-L-histidine N-tele-methyltransferase
2.1.1.77	S-adenosyl-L-methionine:protein-L-isoaspartate O-methyltransferase
2.1.1.147	S-adenosyl-L-methionine:protoberberine 13-C-methyltransferase
2.1.1.53	S-adenosyl-L-methionine:putrescine N-methyltransferase
2.1.1.87	S-adenosyl-L-methionine:pyridine N-methyltransferase
2.1.1.48	S-adenosyl-L-methionine:rRNA (adenine-N6-)-methyltransferase
2.1.1.66	S-adenosyl-L-methionine:rRNA (adenosine-2'-O)-methyltransferase
2.1.1.51	S-adenosyl-L-methionine:rRNA (guanine-N1-)-methyltransferase
2.1.1.52	S-adenosyl-L-methionine:rRNA (guanine-N2-)-methyltransferase
2.1.1.157	S-adenosyl-L-methionine:sarcosine(or N,N-dimethylglycine)N-methyltransferase [N,N-dimethylglycine(or betaine)-forming]
2.1.1.B3 (preliminary BRENDA-supplied EC number)	S-adenosyl-L-methionine:sialate-8-O-methyltransferase
2.1.1.110	S-adenosyl-L-methionine:sterigmatocystin 8-O-methyltransferase
2.1.1.36	S-adenosyl-L-methionine:tRNA (adenine-N1-)-methyltransferase
2.1.1.55	S-adenosyl-L-methionine:tRNA (adenine-N6-)-methyltransferase
2.1.1.29	S-adenosyl-L-methionine:tRNA (cytosine-5-)-methyltransferase
2.1.1.31	S-adenosyl-L-methionine:tRNA (guanine-N1-)-methyltransferase
2.1.1.32	S-adenosyl-L-methionine:tRNA (guanine-N2-)-methyltransferase
2.1.1.33	S-adenosyl-L-methionine:tRNA (guanine-N7-)-methyltransferase
2.1.1.35	S-adenosyl-L-methionine:tRNA (uracil-5-)-methyltransferase
2.1.1.34	S-adenosyl-L-methionine:tRNA guanosine-2'-O-methyltransferase
2.1.1.61	S-adenosyl-L-methionine:tRNA(5-methylaminomethyl-2-thio-uridylate)-methyltransferase
2.5.1.25	S-adenosyl-L-methionine:tRNA-uridine3-(3-amino-3-carboxypropyl)transferase
2.1.1.9	S-adenosyl-L-methionine:thiol S-methyltransferase
2.1.1.67	S-adenosyl-L-methionine:thiopurine S-methyltransferase
2.1.1.136	S-adenosyl-L-methionine:trichlorophenol O-methyltransferase
2.1.1.27	S-adenosyl-L-methionine:tyramine N-methyltransferase
2.1.1.79	S-adenosyl-L-methionine:unsaturated-phospholipid methyltransferase(cyclizing)
2.1.1.16	S-adenosyl-L-methionine:unsaturated-phospholipid methyltransferase(methenylating)
2.1.1.107	S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase
2.1.1.153	S-adenosyl-L-methionine:vitexin-2''-O-beta-L-rhamnoside7-O-methyltransferase
2.1.1.158	S-adenosyl-L-methionine:xanthosine N7-methyltransferase
2.1.1.41	S-adenosyl-L-methionine:zymosterol 24-C-methyltransferase
2.5.1.23	S-adenosylmethioninamine:propane-1,3-diamine 3-aminopropyltransferase
2.5.1.16	S-adenosylmethioninamine:putrescine 3-aminopropyltransferase
2.5.1.22	S-adenosylmethioninamine:spermidine 3-aminopropyltransferase
2.5.1.B4 (preliminary BRENDA-supplied EC number)	S-adenosylmethioninamine:spermidine 3-aminopropyltransferase(thermospermine synthesizing)
2.1.1.B2 (preliminary BRENDA-supplied EC number)	S-adenosylmethionine:Cl- methyltransferase
4.4.1.4	S-alkyl-L-cysteine S-oxide alkyl-sulfenate-lyase(2-aminoacrylate-forming)
4.4.1.6	S-alkyl-L-cysteine alkyl-thiol-lyase (deaminating; pyruvate-forming)
3.1.2.12	S-formylglutathione hydrolase
3.1.3.14	S-methyl-3-phospho-1-thio-D-glycerate phosphohydrolase
3.2.2.16	S-methyl-5'-thioadenosine adeninehyrolase
2.4.2.28	S-methyl-5'-thioadenosine:phosphateS-methyl-5-thio-alpha-D-ribosyl-transferase
4.2.1.109	S-methyl-5-thio-D-ribulose-1-phosphate 4-hydro-lyase[5-(methylthio)-2,3-dioxopentyl-phosphate-forming]
5.3.1.23	S-methyl-5-thio-alpha-D-ribose-1-phosphate aldose-ketose-isomerase
2.1.1.B4 (preliminary BRENDA-suppied EC number)	S-methyl-L-methionine:L-selenocysteine methyltranserase
1.8.3.5	S-prenyl-L-cysteine:oxygen oxidoreductase
4.1.99.B1 (preliminary BRENDA-supplied EC number)	S-specific spore photoproduct pyrimidine-lyase
3.1.2.13	S-succinylglutathione hydrolase
1.13.11.18	S-sulfanylglutathione:oxygen oxidoreductase
2.9.1.1	Selenophosphate:L-seryl-tRNASec selenium transferase
6.2.1.5	Succinate:CoA ligase (ADP-forming)
5.4.99.11	Sucrose glucosylmutase
5.1.2.5	Tartrate epimerase
5.5.1.3	Tetrahydroxypteridine lyase (isomerizing)
5.1.1.6	Threonine racemase
2.4.1.182	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine:23-bis-(3-hydroxytetradecanoyl)-beta-D-glucosaminyl-1-phosphate2,3-bis(3-hydroxytetradecanoyl)-glucosaminyltransferase
2.6.1.34	UDP-2-acetamido-4-amino-2,4,6-trideoxyglucose:2-oxoglutarateaminotransferase
3.13.1.1	UDP-6-sulfo-6-deoxyglucose sulfohydrolase
2.4.1.222	UDP-D-GlcNAc:O-L-fucosylpeptide3-beta-N-acetyl-D-glucosaminyltransferase
5.4.99.9	UDP-D-galactopyranose furanomutase
4.1.1.67	UDP-D-galacturonate carboxy-lyase (UDP-L-arabinose-forming)
2.4.1.43	UDP-D-galacturonate:(1->4)-alpha-poly-D-galacturonate4-alpha-D-galacturonosyltransferase
2.4.1.85	UDP-D-glucose:(S)-4-hydroxymandelonitrile beta-D-glucosyltransferase
2.4.1.115	UDP-D-glucose:anthocyanidin 3-O-beta-D-glucosyltransferase
4.1.1.35	UDP-D-glucuronate carboxy-lyase (UDP-D-xylose-forming)
2.4.2.24	UDP-D-xylose:(1->4)-beta-D-xylan 4-beta-D-xylosyltransferase
2.4.2.32	UDP-D-xylose:dolichyl-phosphate D-xylosyltransferase
2.4.2.35	UDP-D-xylose:flavonol-3-O-glycoside 2''-O-beta-D-xylosyltransferase
2.4.2.38	UDP-D-xylose:glycoprotein (D-xylose to the 3,6-disubstituted mannose ofN4-{N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->3)-[Nacetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->6)]-beta-Dmannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-Dglucosaminyl}asparagine) 2-beta-D-xylosyltransferase
2.4.2.26	UDP-D-xylose:protein beta-D-xylosyltransferase
2.4.2.39	UDP-D-xylose:xyloglucan 6-alpha-D-xylosyltransferase
2.4.2.40	UDP-D-xylose:zeatin O-beta-D-xylosyltransferase
5.1.3.5	UDP-L-arabinose 4-epimerase
2.4.2.34	UDP-L-arabinose:(indol-3-yl)acetyl-1D-myo-inositolL-arabinosyltransferase
2.4.1.236	UDP-L-rhamnose:flavanone-7-O-glucoside2''-O-beta-L-rhamnosyltransferase
2.4.1.159	UDP-L-rhamnose:flavonol-3-O-D-glucoside 6''-O-L-rhamnosyltransferase
2.7.8.13	UDP-MurAc(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala):undecaprenylphosphate phospho-N-acetylmuramoyl-pentapeptide-transferase
2.4.1.92	UDP-N-acetyl-D-galactosamine:1-O-[O-(N-acetyl-alpha-neuraminosyl)-(2>3)-O-beta-D-galactopyranosyl-(1->4)-beta-D-glucopyranosyl]-ceramide4-beta-N-acetyl-D-galactosaminyltransferase
2.4.1.174	UDP-N-acetyl-D-galactosamine:D-glucuronyl-(1->3)-beta-D-galactosylproteoglycan 4-beta-N-acetylgalactosaminyltransferase
2.4.1.88	UDP-N-acetyl-D-galactosamine:N-acetyl-D-galactosaminyl-(1->3)-Dgalactosyl-(1->4)-D-galactosyl-(1->4)-D-glucosyl-(11)-ceramidealpha-N-acetyl-D-galactosaminyltransferase
2.4.1.244	UDP-N-acetyl-D-galactosamine:N-acetyl-beta-D-glucosaminyl-group4-beta-N-acetylgalactosaminyltransferase
2.4.1.165	UDP-N-acetyl-D-galactosamine:N-acetylneuraminyl-(2->3)-alpha-Dgalactosyl-(1->4)-beta-D-glucosyl-(11)-ceramide4-beta-N-acetylgalactosaminyltransferase
2.4.1.79	UDP-N-acetyl-D-galactosamine:alpha-D-galactosyl-(1->4)-beta-Dgalactosyl-(1->4)-beta-D-glucosyl-(11)-ceramideIII3-beta-N-acetyl-D-galactosaminyltransferase
2.4.1.175	UDP-N-acetyl-D-galactosamine:beta-D-glucuronosyl-(1->3)-N-acetyl-beta-Dgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase
2.4.1.40	UDP-N-acetyl-D-galactosamine:glycoprotein-alpha-L-fucosyl-(1->2)-Dgalactose 3-N-acetyl-D-galactosaminyltransferase
2.4.1.41	UDP-N-acetyl-D-galactosamine:polypeptideN-acetylgalactosaminyl-transferase
5.1.3.14	UDP-N-acetyl-D-glucosamine 2-epimerase
5.1.3.7	UDP-N-acetyl-D-glucosamine 4-epimerase
2.4.1.198	UDP-N-acetyl-D-glucosamine:1-phosphatidyl-1D-myo-inositol6-(N-acetyl-alpha-D-glucosaminyl)transferase
2.4.1.201	UDP-N-acetyl-D-glucosamine:26-bis(N-acetyl-beta-D-glucosaminyl)-alpha-D-mannosyl-glycoprotein4-beta-N-acetyl-D-glucosaminyltransferase
2.4.1.101	UDP-N-acetyl-D-glucosamine:3-(alpha-D-mannosyl)-beta-D-mannosylglycoprotein 2-beta-N-acetyl-D-glucosaminyltransferase
2.4.1.145	UDP-N-acetyl-D-glucosamine:3-[2-(N-acetyl-beta-D-glucosaminyl)-alpha-Dmannosyl]-glycoprotein 4-beta-N-acetyl-D-glucosaminyltransferase
2.4.1.143	UDP-N-acetyl-D-glucosamine:6-(alpha-D-mannosyl)-beta-D-mannosylglycoprotein 2-beta-N-acetyl-D-glucosaminyltransferase
2.4.1.155	UDP-N-acetyl-D-glucosamine:6-[2-(N-acetyl-beta-D-glucosaminyl)-alpha-Dmannosyl]-glycoprotein 6-beta-N-acetyl-D-glucosaminyltransferase
2.4.1.164	UDP-N-acetyl-D-glucosamine:D-galactosyl-(1->4)-N-acetyl-beta-Dglucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(11)ceramide 6-beta-N-acetylglucosaminyltransferase
2.4.1.141	UDP-N-acetyl-D-glucosamine:N-acetyl-D-glucosaminyl-diphosphodolicholN-acetyl-D-glucosaminyltransferase
2.4.1.227	UDP-N-acetyl-D-glucosamine:N-acetyl-alpha-D-muramyl(oyl-L-Ala-gamma-DGlu-L-Lys-D-Ala-D-Ala)-diphosphoundecaprenol4-beta-N-acetylglucosaminlytransferase
2.4.1.147	UDP-N-acetyl-D-glucosamine:N-acetyl-beta-D-galactosaminyl-R3-beta-N-acetyl-D-glucosaminyltransferase
2.4.1.148	UDP-N-acetyl-D-glucosamine:N-acetyl-beta-D-glucosaminyl-(1->3)-N-acetylD-galactosaminyl-R 6-beta-N-acetyl-D-glucosaminyltransferase
1.1.1.136	UDP-N-acetyl-D-glucosamine:NAD+ 6-oxidoreductase
2.4.1.102	UDP-N-acetyl-D-glucosamine:O-glycosyl-glycoprotein(N-acetyl-D-glucosamine to N-acetyl-D-galactosamine ofbeta-D-galactosyl-(1->3)-N-acetyl-D-galactosaminyl-R)6-beta-N-acetyl-D-glucosaminyltransferase
2.4.1.229	UDP-N-acetyl-D-glucosamine:[Skp1-protein]-hydroxyprolineN-acetyl-D-glucosaminyl-transferase
2.4.1.138	UDP-N-acetyl-D-glucosamine:alpha-D-mannosyl-(1->3)-alpha-D-mannosyl-(1>2)-alpha-D-mannosyl-(1->2)-D-mannosealpha-N-acetyl-D-glucosaminyltransferase
2.4.1.146	UDP-N-acetyl-D-glucosamine:beta-D-galactosyl-(1->3)-[N-acetyl-Dglucosaminyl-(1->6)]-N-acetyl-D-galactosaminyl-R3-beta-N-acetyl-D-glucosaminyltransferase
2.4.1.149	UDP-N-acetyl-D-glucosamine:beta-D-galactosyl-(1->4)-N-acetyl-Dglucosamine 3-beta-N-acetyl-D-glucosaminyltransferase
2.4.1.150	UDP-N-acetyl-D-glucosamine:beta-D-galactosyl-(1->4)-N-acetyl-Dglucosaminide 6-beta-N-acetyl-D-glucosaminyltransferase
2.4.1.163	UDP-N-acetyl-D-glucosamine:beta-D-galactosyl-(1->4)-N-acetyl-beta-Dglucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(11)ceramide 3-beta-N-acetylglucosaminyltransferase
2.4.1.206	UDP-N-acetyl-D-glucosamine:beta-D-galactosyl-(1->4)-beta-D-glucosyl-(11)-ceramide 3-beta-N-acetylglucosaminyltransferase
2.4.1.223	UDP-N-acetyl-D-glucosamine:beta-D-glucuronosyl-(1->3)-beta-D-galactosyl(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-proteoglycan4IV-alpha-N-acetyl-D-glucosaminyltransferase
2.4.1.224	UDP-N-acetyl-D-glucosamine:beta-D-glucuronosyl-(1->4)-N-acetyl-alpha-Dglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase
2.4.1.144	UDP-N-acetyl-D-glucosamine:beta-D-mannosyl-glycoprotein4-beta-N-acetyl-D-glucosaminyltransferase
2.4.1.16	UDP-N-acetyl-D-glucosamine:chitin4-beta-N-acetylglucosaminyltransferase
2.7.8.15	UDP-N-acetyl-D-glucosamine:dolichyl-phosphateN-acetyl-D-glucosaminephosphotransferase
2.4.1.153	UDP-N-acetyl-D-glucosamine:dolichyl-phosphatealpha-N-acetyl-D-glucosaminyltransferase
2.4.1.39	UDP-N-acetyl-D-glucosamine:estradiol-17alpha-3-D-glucuronoside17alpha-N-acetylglucosaminyltransferase
2.4.1.197	UDP-N-acetyl-D-glucosamine:high-mannose-oligosaccharide4-beta-N-acetylglucosaminyltransferase
2.4.1.56	UDP-N-acetyl-D-glucosamine:lipopolysaccharideN-acetyl-D-glucosaminyltransferase
2.7.8.17	UDP-N-acetyl-D-glucosamine:lysosomal-enzymeN-acetylglucosaminephosphotransferase
2.4.1.70	UDP-N-acetyl-D-glucosamine:poly(ribitol-phosphate)N-acetyl-D-glucosaminyltransferase
2.4.1.94	UDP-N-acetyl-D-glucosamine:proteinbeta-N-acetyl-D-glucosaminyl-transferase
2.4.1.187	UDP-N-acetyl-D-mannosamine:N-acetyl-beta-Dglucosaminyldiphosphoundecaprenol4-beta-N-acetylmannosaminyltransferase
2.4.1.180	UDP-N-acetyl-beta-D-mannosaminouronate:lipopolysaccharideN-acetyl-beta-D-mannosaminouronosyltransferase
4.2.1.115	UDP-N-acetylglucosamine hydro-lyase (inverting;UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hex-4-ulose-forming)
6.3.2.8	UDP-N-acetylmuramate:L-alanine ligase (ADP-forming)
1.1.1.158	UDP-N-acetylmuramate:NADP+ oxidoreductase
6.3.2.9	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase (ADP-forming)
6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:(L)-meso-26-diaminoheptanedioate gamma-ligase (ADP-forming)
6.3.2.7	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:L-lysine gamma-ligase(ADP-forming)
6.3.2.10	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine:D-alanyl-D-alanineligase (ADP-forming)
2.4.1.186	UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase
2.4.1.225	UDP-alpha-D-glucuronate:N-acetyl-alpha-D-glucosaminyl-(1->4)-beta-Dglucuronosyl-proteoglycan 4-beta-glucuronosyltransferase
2.4.1.226	UDP-alpha-D-glucuronate:N-acetyl-beta-D-galactosaminyl-(1->4)-beta-Dglucuronosyl-proteoglycan 3-beta-glucuronosyltransferase
2.4.2.25	UDP-apiose:5,4'-dihydroxyflavone 7-O-beta-D-glucoside2''-O-beta-D-apiofuranosyltransferase
2.4.1.156	UDP-galactose:(indol-3-yl)acetyl-myo-inositol5-O-D-galactosyltransferase
2.4.1.46	UDP-galactose:1,2-diacyl-sn-glycerol 3-beta-D-galactosyltransferase
2.4.1.45	UDP-galactose:2-(2-hydroxyacyl)sphingosine1-beta-D-galactosyl-transferase
2.4.1.241	UDP-galactose:3-(beta-D-galactosyl)-1,2-diacyl-sn-glycerol6-alpha-galactosyltransferase
2.4.1.134	UDP-galactose:4-beta-D-galactosyl-O-beta-D-xylosylprotein3-beta-D-galactosyltransferase
2.4.1.179	UDP-galactose:D-galactosyl-(1->4)-beta-D-glucosyl-R3-beta-galactosyltransferase
2.4.1.22	UDP-galactose:D-glucose 4-beta-D-galactosyltransferase
2.4.1.62	UDP-galactose:N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-Dgalactosyl-(1->4)-beta-D-glucosyl-N-acylsphingosine3-beta-D-galactosyltransferase
2.4.1.90	UDP-galactose:N-acetyl-D-glucosamine 4-beta-D-galactosyltransferase
2.4.1.86	UDP-galactose:N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1>4)-beta-D-glucosyl-(11)-ceramide 3-beta-D-galactosyltransferase
2.4.1.38	UDP-galactose:N-acetyl-beta-D-glucosaminylglycopeptide4-beta-galactosyltransferase
2.4.1.47	UDP-galactose:N-acylsphingosine D-galactosyltransferase
2.4.1.133	UDP-galactose:O-beta-D-xylosylprotein 4-beta-D-galactosyltransferase
2.7.8.18	UDP-galactose:UDP-N-acetyl-D-glucosamine galactose phosphotransferase
2.4.1.37	UDP-galactose:alpha-L-fucosyl-(1->2)-D-galactoside3-alpha-D-galactosyltransferase
2.4.1.228	UDP-galactose:beta-D-galactosyl-(1->4)-D-glucosyl-(11)-ceramide4II-alpha-D-galactosyltransferase
2.4.1.87	UDP-galactose:beta-D-galactosyl-(1->4)-beta-N-acetyl-D-glucosaminyl-R3-alpha-D-galactosyltransferase
2.4.1.205	UDP-galactose:galactogen 6-beta-D-galactosyltransferase
2.4.1.122	UDP-galactose:glycoprotein-N-acetyl-D-galactosamine3-beta-D-galactosyltransferase
2.4.1.74	UDP-galactose:glycosaminoglycan D-galactosyltransferase
2.4.1.234	UDP-galactose:kaempferol 3-O-beta-D-galactosyltransferase
2.4.1.44	UDP-galactose:lipopolysaccharide 3-alpha-D-galactosyltransferase
2.4.1.123	UDP-galactose:myo-inositol 3-alpha-D-galactosyltransferase
2.4.1.50	UDP-galactose:procollagen-5-hydroxy-L-lysine D-galactosyltransferase
2.4.1.96	UDP-galactose:sn-glycerol-3-phosphate 1-alpha-D-galactosyltransferase
2.4.1.137	UDP-galactose:sn-glycerol-3-phosphate 2-alpha-D-galactosyltransferase
2.4.1.23	UDP-galactose:sphingosine 1-beta-galactosyltransferase
2.4.1.B1 (preliminary BRENDA-supplied EC number)	UDP-galactose:sucrose 3G-alpha-D-galactosyltransferase
2.4.1.167	UDP-galactose:sucrose 6F-alpha-D-galactosyltransferase
2.7.8.6	UDP-galactose:undecaprenyl-phosphate galactose phosphotransferase
5.1.3.16	UDP-glucosamine 4-epimerase
4.2.1.76	UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming)
5.1.3.2	UDP-glucose 4-epimerase
2.4.1.127	UDP-glucose:(-)-menthol O-beta-D-glucosyltransferase
2.4.1.34	UDP-glucose:(1->3)-beta-D-glucan 3-beta-D-glucosyltransferase
2.4.1.12	UDP-glucose:(1->4)-beta-D-glucan 4-beta-D-glucosyltransferase
2.4.1.192	UDP-glucose:(20S,22S,25S)-22,25-epoxyfurost-5-ene-3beta,26-diol3-O-beta-D-glucosyltransferase
2.4.1.193	UDP-glucose:(25S)-5beta-spirostan-3beta-ol3-O-beta-D-glucosyltransferase
2.4.1.66	UDP-glucose:(2S5R)-5-O-(beta-D-galactosyl)-5-hydroxy-L-lysine-[procollagen]D-glucosyltransferase
2.4.1.121	UDP-glucose:(indol-3-yl)acetate beta-D-glucosyltransferase
2.4.1.208	UDP-glucose:1,2-diacyl-3-O-(alpha-D-glucopyranosyl)-sn-glycerol2-glucosyltransferase
2.4.1.157	UDP-glucose:1,2-diacyl-sn-glycerol 3-D-glucosyltransferase
2.4.1.103	UDP-glucose:1,2-dihydroxy-9,10-anthraquinone 2-O-beta-D-glucosyltransferase
2.4.1.158	UDP-glucose:13-hydroxydocosanoate 13-beta-D-glucosyltransferase
2.4.1.202	UDP-glucose:2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one2-D-glucosyltransferase
