(+)-abscisic acid 8'-hydroxylase	1.14.13.93
Hik1-44	2.7.13.3 (protein-histidine kinases without information on stereospecificity towards histidine)
Hik16	2.7.13.3 (protein-histidine kinases without information on stereospecificity towards histidine)
Hik33	2.7.13.3 (protein-histidine kinases without information on stereospecificity towards histidine)
Hik34	2.7.13.3 (protein-histidine kinases without information on stereospecificity towards histidine)
Hik41	2.7.13.3 (protein-histidine kinases without information on stereospecificity towards histidine)
HinFIII	3.1.21.5
HinP1I	3.1.21.4
HincII	3.1.21.4
HindII	3.1.21.4
HindIII	3.1.21.4
HinfI	3.1.21.4
His-rGNE	5.1.3.14
His6 	5.3.1.16
HisB-N 	3.1.3.15
HisC	2.6.1.9
HisD	1.1.1.23
HisDCase	4.1.1.22
HisI	3.5.4.19
HisP	3.6.3.21
HisPPase	3.1.3.15
HisRS	6.1.1.21
Histidine rich protein	5.2.1.8
Histidine translase	6.1.1.21
Histidine--tRNA ligase	6.1.1.21
Histidine--tRNA ligase homolog	6.1.1.21
Histidyl-tRNA synthetase	6.1.1.21
Histidyl-transfer ribonucleate synthetase	6.1.1.21
Histolysin	3.4.22.35
Histone protein methylase I	2.1.1.125
HjGA	3.2.1.3
Hjc	3.1.22.4
Hjc resolvase	3.1.22.4
Hje	3.1.22.4
Hje endnuclease	3.1.22.4
Hje endonuclease	3.1.22.4
Hjr	3.1.22.4
HlB	3.4.24.B17
HlPDI-1	5.3.4.1
HlPDI-2	5.3.4.1
HlPDI-3	5.3.4.1
Hly-OppA	3.6.3.23
HlyB	3.6.3.43
HlyB NBD	3.6.3.18
Hm phosphotransferase	2.7.1.B3
HmMalDH	1.1.1.37
Hmd	1.12.98.2 / or / 1.12.99.6
Hmd 	1.5.99.11
Hmg2p	1.1.1.34
HmgA	1.13.11.5
HmgB	3.7.1.2
Hmi1p	3.6.4.B2
HmuO	1.14.99.3
Ho 1-3 	3.6.1.7
Ho1	1.14.99.3
Ho1 	3.6.1.7
Ho2	1.14.99.3
Ho2 	3.6.1.7
Ho3 	3.6.1.7
HoChiA	3.2.1.14
HoChiB	3.2.1.14
HoChiC	3.2.1.14
HodC	1.13.11.48
Hog1	2.7.11.24
Hog1p	2.7.11.24
HolPase 	3.1.3.15
Holliday juction resolvase ruvC	3.1.22.4
Holliday junction endonuclease	3.1.22.4
Holliday junction endonuclease CCE1	3.1.22.4
Holliday junction nuclease ruvC	3.1.22.4
Holliday junction resolvase	3.1.22.4
Holliday junction resolvase RusA	3.1.22.4
Holliday junction resolvase SpCCE1	3.1.22.4
Holliday junction resolvase Ydc2	3.1.22.4
Holliday junction resolving enzyme Hjc	3.1.22.4
Holliday junction resolving enzyme Hje	3.1.22.4
Holliday junction resolving enzyme Hjr	3.1.22.4
Holliday junction-cleaving endonuclease	3.1.22.4
Holliday junction-resolving endoribonuclease	3.1.22.4
Holliday junction-resolving enzyme	3.1.22.4
Holliday junction-resolving enzyme Cce1	3.1.22.4
Holliday junction-resolving enzymes	3.1.22.4
Holocarboxylase synthetase	6.3.4.10 / or / 6.3.4.15
Holocytochrome c synthetase	4.4.1.17
Holocytochrome c-type synthase	4.4.1.17 / or / 4.4.1.B1
Holocytochrome-C synthase	4.4.1.17
Holocytochrome-C-type synthase	4.4.1.17
Homoaconitase	4.2.1.114 / or / 4.2.1.36
Homoaconitate hydratase	4.2.1.36
Homocarnosine-carnosine synthetase	6.3.2.11
Homocysteine synthase	2.5.1.49
HosB	3.5.1.98
Hox	1.1.3.5 / or / 1.12.1.2
Hox hydrogenase	1.12.1.2
Hox type hydrogenase	1.12.1.2
HoxE	1.12.1.2
HoxEFUYH	1.12.1.2
HoxEFUYH type [NiFe] hydrogenase	1.12.99.6
HoxFUYHI2 	1.12.1.2
Hp-QAPRTase	2.4.2.19
HpFabZ	4.2.1.60
HpMCAT	2.3.1.39
HpOCH1	2.4.1.232
HpPDF	3.5.1.88
HpPanK-III	2.7.1.33
HpPmt1p	2.4.1.109
HpPyc1p	6.4.1.1
Hpa1	3.2.1.B2
Hpa1 heparanase	3.2.1.B2
Hpa3p	2.3.1.36
HpaB	1.14.13.3
HpaC	1.5.1.30 / or / 1.5.1.B1
HpaC 	1.5.1.29
HpaI	3.1.21.4
HpaII	3.1.21.4
HpcE	4.1.1.68
HpcH	4.1.2.20
HpgAT	2.6.1.72
Hph5 	2.7.1.B3
HphI	3.1.21.4
HpkA HK	2.7.13.3 (protein-histidine kinases without information on stereospecificity towards histidine)
Hpr kinase	2.7.11.1
HpxA	5.1.99.3
Hpy188I	3.1.21.4
Hpy8I	3.1.21.4
Hpy99II	3.1.21.4
Hpy99IV	3.1.21.4
Hpy99VIIIP	3.1.21.4
HpyAXII	3.1.21.4
HpyF17I	3.1.21.4
HpyIIIM	2.1.1.72
HrcN	3.6.3.50
Hrd1 	6.3.2.19
Hrd1-SEL1L ubiquitin ligase complex	6.3.2.19
HrgpB 	3.4.22.37
Hrp type III protein secretion system	3.6.3.50
Hrr25p	2.7.10.2
Hs Rce1p	3.4.99.B1
Hs Ste24p	3.4.24.84
Hs-Dicer	3.1.26.3
Hs-Drosha	3.1.26.3
Hs1	3.6.3.12
Hs2 	2.7.7.19
HsAGM1	5.4.2.3
HsBPROS26	3.4.25.1
HsC2-PI3K	2.7.1.137
HsC3-PI3K	2.7.1.154
HsCdc7	2.7.11.1
HsDDC	4.1.1.28
HsDHODH	1.3.5.2
HsFPS	2.5.1.1 / or / 2.5.1.10
HsGAPDH	1.2.1.12
HsGNA1	2.3.1.4
HsHAS1	2.4.1.212
HsIP3K-A	2.7.1.127
HsMIPP1 protein	3.1.3.B3
HsNEU2	3.2.1.18
HsNIK	2.7.11.25
HsNMT1	2.3.1.97
HsOGT	2.4.1.94
HsPDF	3.5.1.88
HsPEX1	3.6.4.6
HsPNO	2.4.2.1
HsPNP	2.4.2.1
HsPex1p	3.6.4.6
HsPex6p	3.6.4.6
HsPlk1	2.7.11.21
HsSAHH	3.3.1.1
HsTop1	5.99.1.2
HsUba1a	6.3.2.B1 (preliminary BRENDA-supplid EC nmuber)
HsaTrz1	3.1.26.11
HsaTrz2	3.1.26.11
Hsc66	3.6.4.10
Hsc70	3.6.4.10
Hsc70 ATPase	3.6.3.51
Hsepi	5.1.3.17
Hsl7	2.1.1.B1
HslU ATPase	3.4.25.B1
HslU chaperone	3.4.25.B1
HslUV	3.4.25.B1
HslUV complex	3.4.25.B1
HslUV protease	3.4.25.B1
HslUV protease-chaperone complex	3.4.25.B1
HslV peptidase	3.4.25.B1
HslV protease	3.4.25.B1
HslV-HslU	3.4.25.B1
HslVU protease	3.4.25.B1
Hsp100	3.6.4.10
Hsp104	3.6.4.10
Hsp14.0	3.6.4.10
Hsp19.7	3.6.4.10
Hsp40	3.6.4.10
Hsp60	3.6.4.9
Hsp65	3.6.4.9
Hsp70	3.6.4.10
Hsp70 chaperone	3.6.4.10
Hsp90	3.6.4.10
Hsp90 molecular chaperone	3.6.4.10
Hsp90a	3.6.4.10 / or / 3.6.4.9
Hsp90alpha	3.6.4.10
HspAT	2.6.1.9
Hspel1	4.2.2.2
Hspel2	4.2.2.2
HtADH	1.1.1.1
HtpG	3.6.4.10
HtrA	3.4.21.107
HtrA (DegP) protease	3.4.21.107
HtrA heat shock protease	3.4.21.107
HtrA protease	3.4.21.107 / or / 3.4.21.108
HtrA-like protease	3.4.21.107
HtrA/DegP	3.4.21.107 / or / 3.4.21.108
HtrA1	3.4.21.107
HtrA2	3.4.21.107 / or / 3.4.21.108
HtrA2 protease	3.4.21.108
HtrA2 serine protease	3.4.21.108
HtrA2/Omi	3.4.21.108
HtrA2/Omi serine protease	3.4.21.108
HuCds1	2.7.11.1
HuHAS1	2.4.1.212
HuPH4-I	1.14.11.2
HuPH4-II	1.14.11.2
HuPON1	3.1.8.1
HuTPS	3.4.21.78
Hul5	6.3.2.19
Human blood coagulation Factor V activating enzymes	3.4.21.95
Human lymphocyte protein	3.4.21.79
Human macrophage metalloelastase 	3.4.24.65
Human osteoclast cathepsin K	3.4.22.38
Hunk	2.7.11.1
Hunter corrective factor 	3.1.6.13
HupL 	1.12.99.6
HupS	1.12.99.6
HurP	3.4.24.85
HutF	3.5.3.13
HutI	3.5.2.7
Huwe1 	6.3.2.19
HvALP	3.1.3.1
HvAP	3.4.23.40
HvAS1 protein 	6.3.5.4
HvAS2 protein 	6.3.5.4
HvGR1	1.8.1.7
HvGR2	1.8.1.7
HvIpk	2.7.1.134
HvNAS1	2.5.1.43
HvNAS2	2.5.1.43
HvNAS3	2.5.1.43
HvNAS4	2.5.1.43
HvNAS6	2.5.1.43
HvNAS7	2.5.1.43
HvNTR1	1.8.1.9
HvNTR2	1.8.1.9
HvOxo1	1.2.3.4
HvPAO1	1.5.3.11
HvPAO2	1.5.3.11
HvPhyIIa1	3.1.3.62
HvPhyIIa2	3.1.3.62
HvPhyIIb	3.1.3.62
HvRCCR	1.3.1.80
HvTrxh2	1.8.1.8
HvUGE1	5.1.3.2
HvUGE2	5.1.3.2
HvUGE3	5.1.3.2
HvUXS1	4.1.1.35
HvUXS2	4.1.1.35
HvUXS3	4.1.1.35
HvUXS4	4.1.1.35
HvnA	3.2.2.5
HvnB	3.2.2.5
HvoTrz	3.1.26.11
Hvpepc3	4.1.1.31
Hvpepc4	4.1.1.31
Hvpepc5	4.1.1.31
Hxk1	2.7.1.1
Hxk2	2.7.1.1
HyPRE	5.1.1.8
HyR 	2.7.1.B3
Hya	1.12.99.6 / or / 3.2.1.35
Hyal	3.2.1.35 / or / 4.2.2.1
Hyal 1	3.2.1.35
Hyal-1	3.2.1.35 / or / 4.2.2.1
Hyal-2	4.2.2.1
Hyal2	3.2.1.35 / or / 4.2.2.1
Hyb	1.12.99.6
Hyb-24DN	3.5.1.46
HycE 	1.12.1.2 / or / 1.12.99.6
HycE processing protein	3.4.23.B21
Hyd-2	1.12.99.6
HydA1	1.12.7.2
HydA2	1.12.7.2
HydAB	1.12.2.1
HydABC	1.12.5.1
HydH	2.7.13.3 (protein-histidine kinases without information on stereospecificity towards histidine)
HydNIR	1.7.2.1
Hydratase, beta-cyanoalanine	4.2.1.65
Hydratase, citraconate	4.2.1.35
Hydratase, crotonoyl-[acyl carrier protein]	4.2.1.58
Hydratase, homoaconitate	4.2.1.36
Hydratase, isohexenylglutaconyl coenzyme A	4.2.1.57
Hydratase, itaconyl coenzyme A	4.2.1.56
Hydratase, mesaconate	4.2.1.34
Hydratase, oleate	4.2.1.53
Hydratase, phaseollidin	4.2.1.97
Hydratase, urocanate	4.2.1.49
Hydrogen:quinone oxidoreductase	1.12.5.1
Hydrogenobyrinic acid-binding protein	5.4.1.2
Hydrolact	3.2.1.23
Hydrolase, 4-hydroxybenzoyl coenzyme A	3.1.2.23
Hydrolase, acyl protein thioester	3.1.2.22
Hydrolase, acyl protein thioester (cattle clone pBovPPT-18 precursorreduced)	3.1.2.22
Hydrolase, acyl protein thioester (cattle pBovPPT-25 precursor reduced)	3.1.2.22
Hydrolase, acyl protein thioester (human clone B lysosome-associatedisoenzyme 2)	3.1.2.22
Hydrolase, acyl protein thioester (human clone pHuPPT-5')	3.1.2.22
Hydrolase, acyl protein thioester (ox clone pBovPPT-18 precursorreduced)	3.1.2.22
Hydrolase, acyl protein thioester (ox pBovPPT-25 precursor reduced)	3.1.2.22
Hydrolase, acyl protein thioester (rat clone pRatPPT-44 precursorreduced)	3.1.2.22
Hydrolase, beta-cyanoalanine	4.2.1.65
Hydrolase, cyanate	4.2.1.104
Hydrolase, gamma-D-glutamyl-(L)-meso-diaminopimelate peptidoglycan	3.4.19.11
Hydrolase, lauroyl-[acyl carrier protein]	3.1.2.21
Hydrolase, phosphonoacetate	3.11.1.2
Hydroxy-cinnamate:CoA ligase	6.2.1.12
Hydroxyacid racemase	5.1.2.1
Hydroxyaspartate dehydratase	4.3.1.20
Hydroxyatrazine hydrolase	3.5.99.3
Hydroxycholesterol 7alpha-hydroxylase	1.14.13.60
Hydroxycinnamate:CoA ligase	6.2.1.12
Hydroxycinnamoyl CoA synthetase	6.2.1.12
Hydroxycinnamoyl-CoA-anthocyanidin 3,5-diglucoside5-O-glucoside-6'''-O-hydroxycinnamoyltransferase	2.3.1.153
Hydroxycinnamoyltransferase, anthocyanidin 3,5-diglucoside5-O-glucoside-6''-O-	2.3.1.153
Hydroxycinnamoyltransferase, anthocyanin	2.3.1.153
Hydroxyisohexenylglutaryl CoA:acetate lyase	4.1.3.26
Hydroxyisohexenylglutaryl-CoA:acetatelyase	4.1.3.26
Hydroxyketoglutarate aldolase	4.1.3.16
Hydroxyketoglutaric aldolase	4.1.3.16
Hydroxylase, steroid	1.14.13.54
Hydroxymalonic semialdehyde carboxylase	4.1.1.47
Hydroxymethylbilane hydrolyase [cyclizing]	4.2.1.75
Hydroxymethylglutaryl coenzyme A lyase	4.1.3.4
Hydroxymethylglutaryl coenzyme A-cleaving enzyme	4.1.3.4
Hydroxynitrile lyase	4.1.2.10 / or / 4.1.2.11 / or / 4.1.2.37
Hydroxyprogesterone dehydroxylase	4.2.1.98
Hydroxyproline 2-epimerase	5.1.1.8
Hydroxyproline epimerase	5.1.1.8
Hydroxysteroid isomerase	5.3.3.1
Hydroxytryptophan decarboxylase	4.1.1.28
HylA7	4.2.2.1
HylP	4.2.2.1
Hylp2	4.2.2.1
HypD	3.4.23.B20
Hypothetical protein Walter	1.6.5.3
HysAB	1.12.2.1
HyuA	5.1.99.5
HyuE	5.1.99.5
I N-acetylglucosaminyltransferase	2.4.1.150
I beta1,6-N-acetylglucosaminyltransferase	2.4.1.150
I(1,4,5)P3 5-phosphatase	3.1.3.56
I-1-Pase	3.1.3.25
I-19	3.2.2.5
I-branchingbeta-1,6-N-acetylglucosaminyltransferase	2.4.1.150
I-peptide kinase 	2.7.11.27
I100	3.4.17.21
I2'H	1.14.13.89
I3'H	1.14.13.52
I7OMT	2.1.1.46
IA-2	3.1.3.48
IA-2beta	3.1.3.48
IA-myo-inositol synthase	2.3.1.72
IAA-glucose synthase	2.4.1.121
IAA-lysine synthetase	6.3.2.20
IAA-myo-inositol synthase	2.3.1.72
IAA-myo-inositol-arabinosyl synthase	2.4.2.34
IAAld oxidase	1.2.3.7
IAD	3.4.19.5
IAG nucleoside hydrolase	3.2.2.1
IAG-NH	3.2.2.1
IAGlc synthase	2.4.1.121
IAGlu synthase	2.4.1.121
IAMT	2.1.1.77
IAP	3.1.3.1
IAP 	3.1.3.2
IAP transaminase	2.6.1.9
IAP-1	3.4.24.B19
IAP1	3.1.3.1
IAP2	3.1.3.1
IAP3	3.1.3.1
IAP4	3.1.3.1
IAP5	3.1.3.1
IAPase	3.1.3.1
IAR	3.1.3.48
IAT	2.3.1.164
IB PLA2	3.1.1.4
ICAAR	3.1.3.48
ICD	1.1.1.42
ICDH	1.1.1.41 / or / 1.1.1.42 / or / 2.7.11.5
ICDH kinase/phosphatase	2.7.11.5
ICDH1	1.1.1.41
ICE	3.4.22.36
ICE 	3.1.1.1
ICE(rel)-II	3.4.22.57
ICE(rel)-III	3.4.22.58
ICE-LAP3	3.4.22.60
ICE-LAP6	3.4.22.62
ICE-like apoptotic protease 3	3.4.22.60
ICE-like apoptotic protease 4	3.4.22.63
ICE-like apoptotic protease 5	3.4.22.61
ICE-like apoptotic protease 6	3.4.22.62
ICErelIII/TY	3.4.22.58
ICH-1 protease	3.4.22.55
ICH-1L/1S	3.4.22.55
ICH-2 protease	3.4.22.57
ICH-3 protease	3.4.22.57 / or / 3.4.22.58 / or / 3.4.22.64
ICH3 protease	3.4.22.57
ICHG	3.2.1.21
ICL	4.1.3.1
ICL1 	4.1.3.1
ICL2 	4.1.3.1
ICM	5.4.99.13
ICP0 	6.3.2.19
ICS	5.4.4.2
ICS1 	5.4.4.2
ICS1 gene product	5.4.4.2
ICS2 	5.4.4.2
ICT1 protein	2.3.1.51
IDE	3.4.24.56
IDH	1.1.1.18 / or / 1.1.1.41 / or / 1.1.1.42
IDH I	1.1.1.41
IDH II	1.1.1.41
IDH III	1.1.1.41
IDH IV	1.1.1.41
IDH V	1.1.1.41
IDH kinase	2.7.11.5
IDH kinase/phosphatase	2.7.11.5
IDH-I	1.1.1.41
IDH-II	1.1.1.41
IDH-K/P	2.7.11.5
IDH-V	1.1.1.41
IDH1	1.1.1.41
IDH2	1.1.1.41
IDH5	1.1.1.41
IDHK/P	2.7.11.5
IDHP	1.1.1.42
IDHa	1.1.1.41
IDI	5.3.3.2
IDO	1.13.11.11 / or / 1.13.11.17 / or / 1.13.11.52
IDO-2	1.13.11.52
IDO2	1.13.11.52
IDP	1.1.1.42
IDP1	1.1.1.42
IDP2	1.1.1.42
IDP3	1.1.1.42
IDPase	3.6.1.6
IDPc	1.1.1.42
IDPm	1.1.1.42
IDS	2.5.1.1 / or / 2.5.1.10 / or / 3.1.6.13
IDS2	1.14.11.25 / or / 2.5.1.1
IDS3	1.14.11.24
IDU	3.2.1.76
IDUA	3.2.1.76
IEMT	2.1.1.146
IF	3.4.21.45
IF1 	3.1.3.2
IF2	3.6.5.3
IF2 	3.1.3.2
IFP53	6.1.1.2
IFR	1.3.1.45
IFS	1.14.13.86
IFS1	1.14.13.86
IFTase	4.2.2.18
IFTase (DFA III-producing)	4.2.2.18
IFTaseIII	4.2.2.18
IGD-binding protein	3.1.4.46
IGF binding protein-4 protease	3.4.24.79
IGF binding protein-4 specific proteinase	3.4.24.79
IGF-1 receptor	2.7.10.1
IGF-1R	2.7.10.1
IGF-1R tyrosine kinase	2.7.10.1
IGF-BP-4 proteinase	3.4.24.79
IGF-IR	2.7.10.1
IGFBP proteinase	3.4.24.79
IGFBP-4 protease	3.4.24.79
IGFR tyrosine kinase	2.7.10.1
IGL	4.1.2.8 (reinstated 2006, had been eliminated in 1972)
IGP dehydratase	4.2.1.19
IGPD	4.2.1.19
IGPS	4.1.1.48
IGPS:PRAI (indole-3-glycerol-phosphatesynthetase/N-5'-phosphoribosylanthranilate isomerase complex)	5.3.1.24
IGRP	3.1.3.9
IGnT	2.4.1.149 / or / 2.4.1.150
IHPK2	2.7.4.21
IHQ	1.9.3.1
IIA3	1.14.14.1
IIC-type ATPase	3.6.3.12
IIC2	4.6.1.1
IID sialidase	3.2.1.18
IKK	2.7.11.10
IKK beta	2.7.11.10
IKK complex	2.7.11.10
IKK-alpha	2.7.11.10
IKK-beta	2.7.11.10
IKK-related kinase	2.7.11.10
IKK1	2.7.11.10
IKK2	2.7.11.10
IKKalpha	2.7.11.10
IKKbeta	2.7.11.10
IKKepsilon	2.7.11.10
IKKi	2.7.11.10
IL-1 beta converting enzyme	3.4.22.36
IL-1BC	3.4.22.36
IL-1R-associated kinase	2.7.10.2
IL-2-inducible T-cell kinase	2.7.10.2
IL4I1	1.4.3.2
ILAP	3.4.23.29
ILKAP	3.1.3.16
ILP receptor	2.7.10.1
IM protein	1.10.99.1
IMD	3.2.1.94
IMDH	1.1.1.85
IMP	3.1.3.25
IMP 5'-nucleotidase	3.1.3.5
IMP DH	1.1.1.205
IMP dehydrogenase	1.1.1.205
IMP oxidoreductase	1.1.1.205
IMP pyrophosphorylase	2.4.2.8
IMP synthetase	3.5.4.10
IMP--aspartate ligase	6.3.4.4
IMP-1	3.5.2.6
IMP-1 protein	3.1.3.25
IMP-10	3.5.2.6
IMP-12	3.5.2.6
IMP-13	3.5.2.6
IMP-15	3.5.2.6
IMP-16	3.5.2.6
IMP-18	3.5.2.6
IMP-9-type metallo-beta-lactamase	3.5.2.6
IMP-DH	1.1.1.205
IMP-GMP 5'-nucleotidase	3.1.3.5
IMP-GMP pyrophosphorylase	2.4.2.8
IMP-GMP specific nucleotidase	3.1.3.5
IMP-aspartate ligase	6.3.4.4
IMP-like metallo-beta-lactamase	3.5.2.6
IMP-sensitive glucose-1,6-bisphosphatase	5.4.2.8
IMP-type beta-lactamase	3.5.2.6
IMP-type metallo-beta-lactamase	3.5.2.6
IMP/GMP selective 5'-NT	3.1.3.5
IMP:NAD oxidoreductase	1.1.1.205
IMP:NAD+ oxidoreductase	1.1.1.205
IMPA1	3.1.3.25
IMPA2	3.1.3.25
IMPCH	2.1.2.3 / or / 3.5.4.10
IMPCHase	3.5.4.10
IMPD	1.1.1.205
IMPDH	1.1.1.205
IMPDH II	1.1.1.205
IMPDH-1	1.1.1.205
IMPDH-S	1.1.1.205
IMPDH1	1.1.1.205
IMPDH2	1.1.1.205
IMPP	3.1.3.25
IMPase	3.1.3.25
IMPase/FBPase	3.1.3.25
IMT	2.1.1.129
IMT1 protein	2.1.1.129
IMTD	3.2.1.95
IND-5	3.5.2.6
INDO	1.13.11.11
INDOL1	1.13.11.52
INO1 	5.5.1.4
INP51	3.1.3.36
INPP	3.1.3.57
INPP4A	3.1.3.66
INPP5B	3.1.3.36
INPS	5.5.1.4
INPS1	5.5.1.4
INS	4.1.2.8 (reinstated 2006, had been eliminated in 1972)
INS (3) P1 synthase	5.5.1.4
INV1p	3.2.1.26
IOMT	2.1.1.150 / or / 2.1.1.46
IOMT1	2.1.1.46
IOMT2	2.1.1.46
IOMT3	2.1.1.46
IOMT4	2.1.1.46
IOMT5	2.1.1.46
IOMT6	2.1.1.46
IOMT7	2.1.1.46
IOR	1.2.7.8 / or / 1.3.99.16
IP synthase	5.5.1.4
IP210	4.2.1.3
IP3 3-kinase	2.7.1.127 / or / 2.7.1.151
IP3-3K	2.7.1.127
IP3/IP4 6-/3-kinase	2.7.1.151
IP3K	2.7.1.151
IP3K 	2.7.1.127
IP3K-A	2.7.1.127
IP3K-B	2.7.1.127
IP3K-C	2.7.1.127
IP3KA	2.7.1.127
IP3KB	2.7.1.127
IP3KC	2.7.1.127
IP3kin	2.7.1.127
IP5 2-kinase	2.7.1.158
IP56K	2.7.1.159
IP5K	2.7.1.158
IP5P	3.1.3.36
IP6 kinase	2.7.4.21
IP6K2	2.7.4.21
IPK	2.7.1.151
IPKII	2.7.1.151
IPL	3.3.2.1
IPM dehydratase	4.2.1.33
IPM synthase	2.3.3.13
IPM-synthase	2.3.3.13
IPMDH	1.1.1.85
IPMI	4.2.1.33
IPMK	2.7.1.127
IPMK 	2.7.1.151
IPMS	2.3.3.13
IPMS1	2.3.3.13
IPMS2	2.3.3.13
IPN epimerase	5.1.1.17
IPN synthase 	1.21.3.1
IPNS	1.21.3.1
IPP	3.1.3.57
IPP isomerase	5.3.3.2
IPP-isomerase	5.3.3.2
IPP:DMAPP	5.3.3.2
IPPI	5.3.3.2
IPPI1	5.3.3.2
IPPI2	5.3.3.2
IPPRp	3.1.3.36
IPPase	3.1.3.57 / or / 3.6.1.1
IPS	5.5.1.4
IPT	2.5.1.27
IPT2	2.5.1.8
IPT9	2.5.1.8
IPU	3.2.1.57
IPase	3.2.1.120
IR kinase	2.7.10.1
IR-PTK	2.7.10.1
IR-related receptor	2.7.10.1
IRAK	2.7.10.2
IRAK-81	2.7.10.2
IRAP	3.4.11.3
IRAP/P-LAP	3.4.11.3
IRAb	3.2.2.22
IRE-BP	4.2.1.3
IRF2-BP1	6.3.2.19
IRF2-binding protein-1	6.3.2.19
IRIP	3.2.2.22
IRK	2.7.10.1
IRP	3.4.22.56 / or / 4.2.1.3
IRP-1	4.2.1.3
IRP1	4.2.1.3
IRR	2.7.10.1
IRR-protein tyrosine kinase	2.7.10.1
IRS	6.1.1.5
IRT1	3.6.3.30
IRX3	2.4.1.12
IRX9	2.4.2.24
IS	2.4.1.9
ISA1	3.2.1.68
ISA3	3.2.1.68
ISOC2	3.3.2.1
ISPK-1	2.7.11.1
ISPS	4.2.3.27
ISPTOD	1.14.12.11
ISPTOL 	1.14.12.11
ITHD	1.97.1.11
ITPA	3.6.1.19
ITPK1	2.7.1.134 / or / 2.7.1.151 / or / 2.7.1.159
IU-nucleoside hydrolase	3.2.2.1
IVD	1.3.99.10
Ialnos synthase	2.3.1.72
IbSBEI 	2.4.1.18
Ice-CA	4.2.1.1
Icl1p	1.1.1.86
Icmt	2.1.1.100
IcsI	5.4.4.2
Idi-2	5.3.3.2
Ifc3	1.3.99.1
IgA protease	3.4.21.72
IgA proteinase	3.4.21.72
IgA-specific proteinase	3.4.21.72
IgA1 protease	3.4.21.72 / or / 3.4.24.13
IgA1 proteinase	3.4.24.13
IgA1-specific protease	3.4.21.72
IgA1-specific proteinase	3.4.24.13
IgD-binding protein D	3.1.4.46
IgE-binding allergen	4.1.2.13
Iga	3.4.21.72 / or / 3.4.24.13
Ih3AT1	2.3.1.153
Ih3AT2	2.3.1.153
Ih3GT	2.4.1.115
IkappaB alpha kinase	2.7.11.10
IkappaB kinase	2.7.11.10
IkappaB kinase alpha	2.7.11.10
IkappaB kinase beta	2.7.11.10
IkappaB kinase complex	2.7.11.10
IkappaB kinase-2	2.7.11.10
IkappaB kinase-alpha	2.7.11.10
IkappaB kinase-beta	2.7.11.10
IkappaB-kinase	2.7.11.10
IkappaBalpha	2.7.11.10
IkappaBalpha kinase	2.7.11.10
IkappaBbeta kinase	2.7.11.10
Ikka	2.7.11.10
Il4i1 protein	1.4.3.2
IleRS	6.1.1.5
Ileal dipeptidylpeptidase	3.4.17.21
Ilv5p	1.1.1.86
IlvE	2.6.1.42
IlvN	2.2.1.6
Ime2p	2.7.10.2
Imidazolone-5-propionate hydrolase	3.5.2.7
Imidazolonepropionate hydrolase	4.2.1.49
Imiglucerase	3.2.1.45
Imipenem-cefoxitin hydrolyzing enzyme	3.5.2.6
Immunogenic protein p36	1.1.1.27
Immunoglobulin A protease	3.4.21.72
Immunoglobulin A proteinase	3.4.21.72
Immunophilin FKBP12	5.2.1.8
Immunophilin FKBP12.6	5.2.1.8
Immunophilin FKBP36	5.2.1.8
Immunophilin FKBP65	5.2.1.8
Imp1	3.4.24.64
Imp2	3.4.24.64
ImpA	3.4.21.B30
Impk	2.7.1.151
InGP synthase	4.1.1.48
InGP synthetase	4.1.1.48
InGPS	4.1.1.48
InOx	1.13.99.1
InR	2.7.10.1
InRK	2.7.10.1
Indole-3-glycerol phosphate synthetase	4.1.1.48
Indole-3-glycerol-phosphate synthase	4.1.1.48
Indole-3-glycerophosphate synthase	4.1.1.48
Indole-3-pyruvate decarboxylase	4.1.1.74
Indoleacetic acid-lysine synthetase	6.3.2.20
Indoleamine-pyrrole 2,3-dioxygenase	1.13.11.52
Indoleglycerol phosphate synthase	4.1.1.48
Indoleglycerol phosphate synthetase	4.1.1.48
Indoleglycerolphosphate synthetase	4.1.1.48
Indolepyruvate decarboxylase	4.1.1.74
Indolepyruvate decarboxylase (Enterobacter herbocola strain 299R clonepMB2 gene ipdC reduced)	4.1.1.74
Indolepyruvic acid decarboxylase	4.1.1.74
InhA	1.3.1.38 / or / 1.3.1.9
Inorganic pyrophosphatases	3.6.1.1
Inositol 1-phosphate synthase	5.5.1.4
Inositol 1-phosphate synthetase	5.5.1.4
Inositol oxygenase	1.13.99.1
Inosose 2,3-dehydratase	4.2.1.44
Ins(1,3,4)P3 5/6-kinase	2.7.1.159
Ins(1,3,4,6)P4 5-kinase	2.7.1.140
Ins(1,4,5)P(3) 3-kinase B	2.7.1.127
Ins(1,4,5)P3 3-kinase	2.7.1.127 / or / 2.7.1.151
Ins(1,4,5)P3 3-kinase isoform B	2.7.1.127
Ins(1,4,5)P3 5-phosphatase	3.1.3.56
Ins(1,4,5)P3/Ins(1,3,4,5)P4 5-phosphatase	3.1.3.56
Ins5 2-kinase	2.7.1.158
InsP 5-ptase	3.1.3.56
InsP3 3-kinase	2.7.1.127
InsP3 3-kinase A	2.7.1.127
InsP3 3-kinase B	2.7.1.127
InsP3 3-kinase C	2.7.1.127
InsP3 5-phosphatase	3.1.3.56
InsP3K	2.7.1.127
InsP4 5-kinase 	2.7.1.151
InsP5 2-kinase	2.7.1.158
InsP6 kinase	2.7.4.21
InsP6K2	2.7.4.21
