1.14.13.93	(+)-abscisic acid 8'-hydroxylase
1.1.1.134	dTDP-6-deoxy-L-talose 4-dehydrogenase
2.4.2.27	dTDP-dihydrostreptose-streptidine-6-phosphatedihydrostreptosyltransferase
1.1.1.186	dTDP-galactose 6-dehydrogenase
4.2.1.46	dTDP-glucose 4,6-dehydratase
2.7.4.9	dTMP kinase
3.6.1.23	dUTP diphosphatase
3.4.24.60	dactylysin
4.2.1.B2 (preliminary BRENDA-supplied EC number)	dammarenediol-II synthase
1.14.11.26	deacetoxycephalosporin-C hydroxylase
1.14.20.1	deacetoxycephalosporin-C synthase
1.14.11.20	deacetoxyvindoline 4-hydroxylase
2.3.1.49	deacetyl-[citrate-(pro-3S)-lyase] S-acetyltransferase
2.3.1.175	deacetylcephalosporin-C acetyltransferase
4.3.3.4	deacetylipecoside synthase
4.3.3.3	deacetylisoipecoside synthase
2.3.1.107	deacetylvindoline O-acetyltransferase
2.3.3.2	decylcitrate synthase
2.3.3.4	decylhomocitrate synthase
1.1.99.4	dehydrogluconate dehydrogenase
2.7.1.13	dehydrogluconokinase
2.4.1.B5 (preliminary BRENDA-supplied EC number)	delphinidin 3',5'-O-glucosyltransferase
2.1.1.102	demethylmacrocin O-methyltransferase
2.1.1.109	demethylsterigmatocystin 6-O-methyltransferase
2.7.1.76	deoxyadenosine kinase
3.5.4.14	deoxycytidine deaminase
2.7.1.74	deoxycytidine kinase
2.1.2.8	deoxycytidylate 5-hydroxymethyltransferase
2.1.1.54	deoxycytidylate C-methyltransferase
2.7.1.113	deoxyguanosine kinase
1.14.99.29	deoxyhypusine monooxygenase
2.5.1.46	deoxyhypusine synthase
2.7.1.145	deoxynucleoside kinase
3.1.3.34	deoxynucleotide 3'-phosphatase
3.2.2.17	deoxyribodipyrimidine endonucleosidase
4.1.99.3	deoxyribodipyrimidine photo-lyase
3.1.25.1	deoxyribonuclease (pyrimidine dimer)
3.1.21.1	deoxyribonuclease I
3.1.22.1	deoxyribonuclease II
3.1.21.2	deoxyribonuclease IV (phage-T4-induced)
3.1.21.7	deoxyribonuclease V
3.1.22.5	deoxyribonuclease X
1.14.13.91	deoxysarpagine hydroxylase
2.4.2.23	deoxyuridine phosphorylase
2.7.1.24	dephospho-CoA kinase
2.7.11.3	dephospho-[reductase kinase] kinase
2.8.2.24	desulfoglucosinolate sulfotransferase
3.4.24.39	deuterolysin
3.2.1.95	dextran 1,6-alpha-isomaltotriosidase
3.2.1.11	dextranase
2.4.1.5	dextransucrase
2.4.1.2	dextrin dextranase
2.5.1.31	di-trans,poly-cis-decaprenylcistransferase
2.3.1.20	diacylglycerol O-acyltransferase
2.7.8.2	diacylglycerol cholinephosphotransferase
2.7.1.107	diacylglycerol kinase
3.1.3.B2 (preliminary BRENDA-supplied EC number)	diacylglycerol pyrophosphate phosphatase
2.3.1.73	diacylglycerol-sterol O-acyltransferase
2.7.99.B1 (preliminary BRENDA-supplied EC number)	diadenosine 5',5''''-P1,P4-tetraphosphate synthase(diphosphate-forming)
2.3.1.57	diamine N-acetyltransferase
1.4.3.22	diamine oxidase
2.6.1.29	diamine transaminase
2.3.1.178	diaminobutyrate acetyltransferase
4.1.1.86	diaminobutyrate decarboxylase
2.6.1.76	diaminobutyrate-2-oxoglutarate transaminase
2.6.1.46	diaminobutyrate-pyruvate transaminase
3.5.4.26	diaminohydroxyphosphoribosylaminopyrimidine deaminase
1.4.1.16	diaminopimelate dehydrogenase
1.3.1.60	dibenzothiophene dihydrodiol dehydrogenase
4.5.1.3	dichloromethane dehalogenase
5.5.1.11	dichloromuconate cycloisomerase
1.1.1.229	diethyl 2-methyl-3-oxosuccinate reductase
1.16.1.2	diferric-transferrin reductase
3.2.1.134	difructose-anhydride synthase
2.4.1.241	digalactosyldiacylglycerol synthase
2.4.1.208	diglucosyl diacylglycerol synthase
3.5.3.20	diguanidinobutanase
2.7.7.65	diguanylate cyclase
1.1.1.160	dihydrobunolol dehydrogenase
1.1.1.296	dihydrocarveol dehydrogenase
3.1.1.35	dihydrocoumarin hydrolase
1.3.1.26	dihydrodipicolinate reductase
4.2.1.52	dihydrodipicolinate synthase
1.5.1.3	dihydrofolate reductase
6.3.2.12	dihydrofolate synthase
1.1.1.219	dihydrokaempferol 4-reductase
1.8.1.4	dihydrolipoyl dehydrogenase
2.3.1.168	dihydrolipoyllysine-residue (2-methylpropanoyl)transferase
2.3.1.12	dihydrolipoyllysine-residue acetyltransferase
2.3.1.61	dihydrolipoyllysine-residue succinyltransferase
3.5.2.3	dihydroorotase
1.3.5.2	dihydroorotate dehydrogenase
1.3.3.1	dihydroorotate oxidase
2.5.1.15	dihydropteroate synthase
3.5.2.2	dihydropyrimidinase
1.3.1.2	dihydropyrimidine dehydrogenase (NADP+)
2.7.1.88	dihydrostreptomycin-6-phosphate 3'alpha-kinase
1.3.1.1	dihydrouracil dehydrogenase (NAD+)
1.3.3.7	dihydrouracil oxidase
4.2.1.9	dihydroxy-acid dehydratase
2.6.1.49	dihydroxyphenylalanine transaminase
1.1.1.96	diiodophenylpyruvate reductase
2.6.1.24	diiodotyrosine transaminase
3.1.8.2	diisopropyl-fluorophosphatase
2.5.1.28	dimethylallylcistransferase
2.5.1.1	dimethylallyltranstransferase
1.5.8.1	dimethylamine dehydrogenase
3.5.3.18	dimethylargininase
2.1.1.161	dimethylglycine N-methyltransferase
1.5.99.2	dimethylglycine dehydrogenase
1.5.3.10	dimethylglycine oxidase
2.1.1.44	dimethylhistidine N-methyltransferase
1.1.1.84	dimethylmalate dehydrogenase
4.2.1.85	dimethylmaleate hydratase
4.4.1.3	dimethylpropiothetin dethiomethylase
2.4.2.20	dioxotetrahydropyrimidine phosphoribosyltransferase
3.4.13.21	dipeptidase E
3.4.14.6	dipeptidyl-dipeptidase
3.4.14.1	dipeptidyl-peptidase I
3.4.14.2	dipeptidyl-peptidase II
3.4.14.4	dipeptidyl-peptidase III
3.4.14.5	dipeptidyl-peptidase IV
2.7.1.90	diphosphate-fructose-6-phosphate 1-phosphotransferase
2.7.1.79	diphosphate-glycerol phosphotransferase
2.7.1.143	diphosphate-purine nucleoside kinase
2.7.1.80	diphosphate-serine phosphotransferase
2.7.4.24	diphosphoinositol-pentakisphosphate kinase
3.6.1.52	diphosphoinositol-polyphosphate diphosphatase
2.1.1.98	diphthine synthase
2.5.1.24	discadenine synthase
3.1.6.11	disulfoglucosamine-6-sulfatase
1.3.1.75	divinyl chlorophyllide a 8-vinyl-reductase
3.1.2.21	dodecanoyl-[acyl-carrier-protein] hydrolase
5.3.3.8	dodecenoyl-CoA isomerase
2.3.1.123	dolichol O-acyltransferase
2.7.1.108	dolichol kinase
2.7.4.20	dolichyl-diphosphate-polyphosphate phosphotransferase
2.4.1.119	dolichyl-diphosphooligosaccharide-protein glycotransferase
3.1.3.51	dolichyl-phosphatase
2.4.2.32	dolichyl-phosphate D-xylosyltransferase
2.4.1.153	dolichyl-phosphate alpha-N-acetylglucosaminyltransferase
2.4.1.83	dolichyl-phosphate beta-D-mannosyltransferase
2.4.1.117	dolichyl-phosphate beta-glucosyltransferase
2.4.1.130	dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase
2.4.1.109	dolichyl-phosphate-mannose-protein mannosyltransferase
2.4.2.33	dolichyl-xylosyl-phosphate-protein xylosyltransferase
3.6.1.43	dolichyldiphosphatase
3.1.4.48	dolichylphosphate-glucose phosphodiesterase
3.1.4.49	dolichylphosphate-mannose phosphodiesterase
1.14.17.1	dopamine beta-monooxygenase
3.2.2.B3 (preliminary BRENDA-supplied EC number)	double-stranded uracil-DNA glycosylase
2.7.12.1	dual-specificity kinase
3.4.21.B3 (preliminary BRENDA-supplied EC number)	duodenase
3.6.5.5	dynamin GTPase
3.6.4.2	dynein ATPase
1.14.99.22	ecdysone 20-monooxygenase
2.3.1.139	ecdysone O-acyltransferase
1.1.3.16	ecdysone oxidase
4.2.1.108	ectoine synthase
1.5.5.1	electron-transferring-flavoprotein dehydrogenase
4.2.3.41	elisabethatriene synthase
2.7.11.20	elongation factor 2 kinase
3.5.2.18	enamidase
3.2.1.6	endo-1,3(4)-beta-glucanase
3.2.1.8	endo-1,4-beta-xylanase
3.2.1.129	endo-alpha-sialidase
3.2.1.109	endogalactosaminidase
3.2.1.123	endoglycosylceramidase
3.6.1.10	endopolyphosphatase
3.4.24.71	endothelin-converting enzyme 1
4.2.1.17	enoyl-CoA hydratase
4.2.1.B3 (preliminary BRENDA-supplied EC number)	enoyl-CoA hydratase 2
1.3.1.9	enoyl-[acyl-carrier-protein] reductase (NADH)
1.3.1.39	enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific)
1.3.1.10	enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific)
4.2.3.28	ent-cassa-12,15-diene synthase
5.5.1.13	ent-copalyl diphosphate synthase
1.14.13.78	ent-kaurene oxidase
4.2.3.19	ent-kaurene synthase
1.14.13.79	ent-kaurenoic acid oxidase
4.2.3.30	ent-pimara-8(14),15-diene synthase
4.2.3.31	ent-pimara-9(11),15-diene synthase
4.2.3.29	ent-sandaracopimaradiene synthase
3.4.21.9	enteropeptidase
3.4.24.12	envelysin
1.8.4.7	enzyme-thiol transhydrogenase (glutathione-disulfide)
1.5.1.18	ephedrine dehydrogenase
4.2.3.39	epi-cedrol synthase
1.14.13.106	epi-isozizaene 5-monooxygenase
4.2.3.37	epi-isozizaene synthase
3.4.21.114	equine arterivirus serine peptidase
3.4.23.B3 (preliminary BRENDA-supplied EC number)	equine infectious anemia virus proteinase
2.7.1.27	erythritol kinase
1.2.1.72	erythrose-4-phosphate dehydrogenase
1.1.1.162	erythrulose reductase
1.1.1.148	estradiol 17alpha-dehydrogenase
1.1.1.62	estradiol 17beta-dehydrogenase
1.14.99.11	estradiol 6beta-monooxygenase
2.8.2.4	estrone sulfotransferase
4.3.1.7	ethanolamine ammonia-lyase
2.7.1.82	ethanolamine kinase
1.4.3.8	ethanolamine oxidase
2.7.7.14	ethanolamine-phosphate cytidylyltransferase
4.2.3.2	ethanolamine-phosphate phospho-lyase
2.7.8.1	ethanolaminephosphotransferase
1.17.99.2	ethylbenzene hydroxylase
5.4.99.B5 (preliminary BRENDA-supplied EC number)	ethylmalonyl-CoA mutase
4.2.2.13	exo-(1->4)-alpha-D-glucan lyase
3.2.1.165	exo-1,4-beta-D-glucosaminidase
3.2.1.18	exo-alpha-sialidase
3.2.1.82	exo-poly-alpha-galacturonosidase
3.1.11.3	exodeoxyribonuclease (lambda-induced)
3.1.11.4	exodeoxyribonuclease (phage SP3-induced)
3.1.11.1	exodeoxyribonuclease I
3.1.11.2	exodeoxyribonuclease III
3.1.11.5	exodeoxyribonuclease V
3.1.11.6	exodeoxyribonuclease VII
3.6.1.11	exopolyphosphatase
3.1.13.2	exoribonuclease H
3.1.13.1	exoribonuclease II
3.2.1.B1 (preliminary BRENDA-supplied EC number)	extracellular agarase
1.1.1.216	farnesol dehydrogenase
2.7.4.18	farnesyl-diphosphate kinase
2.5.1.B1 (preliminary BRENDA-supplied EC number)	farnesylgeranyltransferase
2.5.1.29	farnesyltranstransferase
2.1.1.15	fatty-acid O-methyltransferase
1.11.1.3	fatty-acid peroxidase
2.3.1.85	fatty-acid synthase
2.3.1.86	fatty-acyl-CoA synthase
3.6.3.47	fatty-acyl-CoA-transporting ATPase
3.1.1.67	fatty-acyl-ethyl-ester synthase
1.12.7.2	ferredoxin hydrogenase
1.18.1.3	ferredoxin-NAD+ reductase
1.18.1.2	ferredoxin-NADP+ reductase
1.7.7.2	ferredoxin-nitrate reductase
1.7.7.1	ferredoxin-nitrite reductase
1.16.1.7	ferric-chelate reductase
4.99.1.1	ferrochelatase
1.16.3.1	ferroxidase
3.1.1.73	feruloyl esterase
3.4.21.B28 (preliminary BRENDA-supplied EC number)	fibroblast activation protein alpha subunit
3.4.24.72	fibrolase
3.4.22.3	ficain
1.14.11.9	flavanone 3-dioxygenase
1.1.1.234	flavanone 4-reductase
2.4.1.185	flavanone 7-O-beta-glucosyltransferase
2.4.1.236	flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase
3.4.24.76	flavastacin
1.1.99.B1 (preliminary BRENDA-supplied EC number)	flavin adenine dinucleotide-dependent 4-phospho-D-erythronatedehydrogenase
1.5.1.30	flavin reductase
1.14.13.8	flavin-containing monooxygenase
1.5.1.B1 (preliminary BRENDA-supplied EC number)	flavin:NADH reductase
2.4.1.81	flavone 7-O-beta-glucosyltransferase
2.4.2.25	flavone apiosyltransferase
1.14.11.22	flavone synthase
1.14.13.88	flavonoid 3',5'-hydroxylase
1.14.13.21	flavonoid 3'-monooxygenase
2.4.1.91	flavonol 3-O-glucosyltransferase
2.8.2.25	flavonol 3-sulfotransferase
2.4.1.237	flavonol 7-O-beta-glucosyltransferase
1.14.11.23	flavonol synthase
2.3.1.116	flavonol-3-O-beta-glucoside O-malonyltransferase
2.4.1.159	flavonol-3-O-glucoside L-rhamnosyltransferase
2.4.1.239	flavonol-3-O-glucoside glucosyltransferase
2.4.1.240	flavonol-3-O-glycoside glucosyltransferase
2.4.2.35	flavonol-3-O-glycoside xylosyltransferase
2.3.1.173	flavonol-3-O-triglucoside O-coumaroyltransferase
1.1.1.256	fluoren-9-ol dehydrogenase
1.2.1.69	fluoroacetaldehyde dehydrogenase
2.2.1.8	fluorothreonine transaldolase
1.2.1.46	formaldehyde dehydrogenase
1.2.99.4	formaldehyde dismutase
2.2.1.3	formaldehyde transketolase
3.5.1.49	formamidase
2.3.1.54	formate C-acetyltransferase
1.2.1.2	formate dehydrogenase
1.2.1.43	formate dehydrogenase (NADP+)
1.2.2.1	formate dehydrogenase (cytochrome)
1.2.2.3	formate dehydrogenase (cytochrome-c-553)
2.7.2.6	formate kinase
6.3.4.3	formate-tetrahydrofolate ligase
3.5.3.5	formimidoylaspartate deiminase
3.5.3.8	formimidoylglutamase
3.5.3.13	formimidoylglutamate deiminase
4.3.1.4	formimidoyltetrahydrofolate cyclodeaminase
3.1.2.10	formyl-CoA hydrolase
2.8.3.16	formyl-CoA transferase
3.5.1.8	formylaspartate deformylase
2.3.1.101	formylmethanofuran-tetrahydromethanopterin N-formyltransferase
3.5.1.31	formylmethionine deformylase
3.5.1.10	formyltetrahydrofolate deformylase
1.5.1.6	formyltetrahydrofolate dehydrogenase
3.4.24.74	fragilysin
3.2.1.153	fructan beta-(2,1)-fructosidase
3.2.1.154	fructan beta-(2,6)-fructosidase
3.2.1.80	fructan beta-fructosidase
2.7.1.4	fructokinase
1.1.99.11	fructose 5-dehydrogenase
1.1.1.124	fructose 5-dehydrogenase (NADP+)
3.1.3.46	fructose-2,6-bisphosphate 2-phosphatase
3.1.3.54	fructose-2,6-bisphosphate 6-phosphatase
3.1.3.11	fructose-bisphosphatase
1.1.1.57	fructuronate reductase
3.2.1.44	fucoidanase
2.7.1.52	fucokinase
2.7.7.30	fucose-1-phosphate guanylyltransferase
4.1.2.33	fucosterol-epoxide lyase
2.4.1.37	fucosylgalactoside 3-alpha-galactosyltransferase
4.2.1.2	fumarate hydratase
1.3.1.6	fumarate reductase (NADH)
3.7.1.2	fumarylacetoacetase
3.1.1.48	fusarinine-C ornithinesterase
4.2.3.43	fusicocca-2,10(14)-diene synthase
3.2.2.26	futalosine hydrolase
3.2.1.145	galactan 1,3-beta-galactosidase
3.2.1.164	galactan endo-1,6-beta-galactosidase
2.3.1.130	galactarate O-hydroxycinnamoyltransferase
2.4.1.67	galactinol-raffinose galactosyltransferase
2.4.1.82	galactinol-sucrose galactosyltransferase
1.1.1.16	galactitol 2-dehydrogenase
1.1.1.251	galactitol-1-phosphate 5-dehydrogenase
2.4.1.205	galactogen 6beta-galactosyltransferase
2.7.1.6	galactokinase
3.1.1.26	galactolipase
2.3.1.134	galactolipid O-acyltransferase
2.4.1.184	galactolipid galactosyltransferase
4.2.1.6	galactonate dehydratase
1.1.1.48	galactose 1-dehydrogenase
1.1.1.120	galactose 1-dehydrogenase (NADP+)
5.1.3.B1 (preliminary BRENDA-supplied EC number)	galactose 1-epimerase
1.1.3.9	galactose oxidase
2.7.7.32	galactose-1-phosphate thymidylyltransferase
2.5.1.5	galactose-6-sulfurylase
2.4.1.69	galactoside 2-alpha-L-fucosyltransferase
2.3.1.18	galactoside O-acetyltransferase
2.4.1.164	galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramidebeta-1,6-N-acetylglucosaminyltransferase
2.3.1.141	galactosylacylglycerol O-acyltransferase
3.2.1.46	galactosylceramidase
2.8.2.11	galactosylceramide sulfotransferase
2.4.99.5	galactosyldiacylglycerol alpha-2,3-sialyltransferase
3.2.1.47	galactosylgalactosylglucosylceramidase
2.4.1.135	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase
2.4.1.134	galactosylxylosylprotein 3-beta-galactosyltransferase
3.2.1.67	galacturan 1,4-alpha-galacturonidase
2.7.1.44	galacturonokinase
2.4.1.136	gallate 1-beta-glucosyltransferase
3.4.24.38	gametolysin
3.4.19.11	gamma-D-Glutamyl-meso-diaminopimelate peptidase
6.3.2.18	gamma-Glutamylhistamine synthase
3.4.21.54	gamma-Renin
1.14.11.1	gamma-butyrobetaine dioxygenase
3.4.19.9	gamma-glutamyl hydrolase
3.5.1.94	gamma-glutamyl-gamma-aminobutyrate hydrolase
2.3.2.4	gamma-glutamylcyclotransferase
2.3.2.2	gamma-glutamyltransferase
1.2.1.54	gamma-guanidinobutyraldehyde dehydrogenase
2.4.1.62	ganglioside galactosyltransferase
3.4.23.3	gastricsin
1.3.1.36	geissoschizine dehydrogenase
3.4.24.24	gelatinase A
3.4.24.35	gelatinase B
2.7.7.46	gentamicin 2''-nucleotidyltransferase
2.3.1.59	gentamicin 2'-N-acetyltransferase
2.3.1.60	gentamicin 3'-N-acetyltransferase
1.13.11.4	gentisate 1,2-dioxygenase
1.1.1.183	geraniol dehydrogenase
1.14.13.110	geranylgeraniol 18-hydroxylase
3.1.7.5	geranylgeranyl diphosphate diphosphatase
1.3.1.83	geranylgeranyl diphosphate reductase
2.5.1.42	geranylgeranylglycerol-phosphate geranylgeranyltransferase
2.5.1.10	geranyltranstransferase
4.2.3.22	germacradienol synthase
4.2.3.23	germacrene-A synthase
1.14.11.13	gibberellin 2beta-dioxygenase
1.14.11.15	gibberellin 3beta-dioxygenase
2.4.1.176	gibberellin beta-D-glucosyltransferase
1.14.11.12	gibberellin-44 dioxygenase
3.4.22.47	gingipain K
2.4.1.88	globoside alpha-N-acetylgalactosaminyltransferase
2.4.1.79	globotriaosylceramide 3-beta-N-acetylgalactosaminyltransferase
3.2.1.84	glucan 1,3-alpha-glucosidase
3.2.1.58	glucan 1,3-beta-glucosidase
3.2.1.3	glucan 1,4-alpha-glucosidase
3.2.1.98	glucan 1,4-alpha-maltohexaosidase
3.2.1.133	glucan 1,4-alpha-maltohydrolase
3.2.1.60	glucan 1,4-alpha-maltotetraohydrolase
3.2.1.116	glucan 1,4-alpha-maltotriohydrolase
3.2.1.74	glucan 1,4-beta-glucosidase
3.2.1.70	glucan 1,6-alpha-glucosidase
3.2.1.94	glucan 1,6-alpha-isomaltosidase
3.2.1.71	glucan endo-1,2-beta-glucosidase
3.2.1.59	glucan endo-1,3-alpha-glucosidase
3.2.1.39	glucan endo-1,3-beta-D-glucosidase
3.2.1.75	glucan endo-1,6-beta-glucosidase
2.3.1.131	glucarate O-hydroxycinnamoyltransferase
4.2.1.40	glucarate dehydratase
2.3.1.132	glucarolactone O-hydroxycinnamoyltransferase
2.7.1.2	glucokinase
2.4.1.32	glucomannan 4-beta-mannosyltransferase
1.1.1.215	gluconate 2-dehydrogenase
1.1.99.3	gluconate 2-dehydrogenase (acceptor)
1.1.1.69	gluconate 5-dehydrogenase
2.7.1.12	gluconokinase
3.1.1.17	gluconolactonase
1.1.99.B3 (preliminary BRENDA-supplied EC number)	glucooligosaccharide oxidase
4.3.1.9	glucosaminate ammonia-lyase
2.3.1.3	glucosamine N-acetyltransferase
2.7.1.8	glucosamine kinase
2.3.1.157	glucosamine-1-phosphate N-acetyltransferase
3.5.99.6	glucosamine-6-phosphate deaminase
2.3.1.4	glucosamine-phosphate N-acetyltransferase
2.4.1.86	glucosaminylgalactosylglucosylceramide beta-galactosyltransferase
1.1.1.47	glucose 1-dehydrogenase
1.1.1.118	glucose 1-dehydrogenase (NAD+)
1.1.1.119	glucose 1-dehydrogenase (NADP+)
1.1.99.10	glucose dehydrogenase (acceptor)
1.1.3.4	glucose oxidase
2.7.1.106	glucose-1,6-bisphosphate synthase
3.1.3.10	glucose-1-phosphatase
2.7.7.27	glucose-1-phosphate adenylyltransferase
2.7.7.33	glucose-1-phosphate cytidylyltransferase
2.7.7.34	glucose-1-phosphate guanylyltransferase
2.7.1.41	glucose-1-phosphate phosphodismutase
2.7.7.24	glucose-1-phosphate thymidylyltransferase
3.1.4.51	glucose-1-phospho-D-mannosylglycoprotein phosphodiesterase
3.1.3.9	glucose-6-phosphatase
1.1.1.49	glucose-6-phosphate dehydrogenase
1.1.99.28	glucose-fructose oxidoreductase
1.1.99.13	glucoside 3-dehydrogenase
2.4.1.28	glucosyl-DNA beta-glucosyltransferase
3.2.1.45	glucosylceramidase
3.1.3.69	glucosylglycerol 3-phosphatase
2.4.1.213	glucosylglycerol-phosphate synthase
4.2.2.14	glucuronan lyase
1.1.1.19	glucuronate reductase
2.7.7.44	glucuronate-1-phosphate uridylyltransferase
3.1.6.18	glucuronate-2-sulfatase
3.2.1.136	glucuronoarabinoxylan endo-1,4-beta-xylanase
2.7.1.43	glucuronokinase
1.1.1.20	glucuronolactone reductase
2.4.1.175	glucuronosyl-N-acetylgalactosaminyl-proteoglycan4-beta-N-acetylgalactosaminyltransferase
2.4.1.224	glucuronosyl-N-acetylglucosaminyl-proteoglycan4-alpha-N-acetylglucosaminyltransferase
3.2.1.56	glucuronosyl-disulfoglucosamine glucuronidase
2.4.1.17	glucuronosyltransferase
2.1.1.112	glucuronoxylan 4-O-methyltransferase
2.4.1.223	glucuronyl-galactosyl-proteoglycan4-alpha-N-acetylglucosaminyltransferase
2.4.1.174	glucuronylgalactosylproteoglycan4-beta-N-acetylgalactosaminyltransferase
2.8.3.12	glutaconate CoA-transferase
4.1.1.70	glutaconyl-CoA decarboxylase
2.7.2.13	glutamate 1-kinase
2.7.2.11	glutamate 5-kinase
2.3.1.35	glutamate N-acetyltransferase
3.4.17.11	glutamate carboxypeptidase
1.4.1.2	glutamate dehydrogenase
1.4.1.4	glutamate dehydrogenase (NADP+)
1.4.1.3	glutamate dehydrogenase [NAD(P)+]
2.1.2.5	glutamate formimidoyltransferase
1.4.1.14	glutamate synthase (NADH)
1.4.1.13	glutamate synthase (NADPH)
1.4.7.1	glutamate synthase (ferredoxin)
5.4.3.8	glutamate-1-semialdehyde 2,1-aminomutase
1.2.1.41	glutamate-5-semialdehyde dehydrogenase
2.6.1.79	glutamate-prephenate aminotransferase
6.3.1.11	glutamate-putrescine ligase
6.1.1.24	glutamate-tRNAGln ligase
3.5.1.38	glutamin-(asparagin-)ase
3.5.1.2	glutaminase
2.3.1.68	glutamine N-acyltransferase
2.3.1.14	glutamine N-phenylacetyltransferase
2.6.1.16	glutamine-fructose-6-phosphate transaminase (isomerizing)
2.6.1.64	glutamine-phenylpyruvate transaminase
2.6.1.15	glutamine-pyruvate transaminase
2.6.1.50	glutamine-scyllo-inositol transaminase
2.3.2.5	glutaminyl-peptide cyclotransferase
6.3.5.7	glutaminyl-tRNA synthase (glutamine-hydrolysing)
3.4.11.7	glutamyl aminopeptidase
3.4.21.19	glutamyl endopeptidase
6.1.1.B3 (preliminary BRENDA-supplied EC number)	glutamyl-Q-tRNA(Asp) ligase
1.2.1.70	glutamyl-tRNA reductase
1.2.1.20	glutarate-semialdehyde dehydrogenase
3.5.1.93	glutaryl-7-aminocephalosporanic-acid acylase
1.3.99.7	glutaryl-CoA dehydrogenase
1.8.5.1	glutathione dehydrogenase (ascorbate)
2.3.2.15	glutathione gamma-glutamylcysteinyltransferase
1.8.3.3	glutathione oxidase
1.11.1.9	glutathione peroxidase
3.1.2.7	glutathione thiolesterase
2.5.1.18	glutathione transferase
1.8.4.3	glutathione-CoA-glutathione transhydrogenase
1.8.4.4	glutathione-cystine transhydrogenase
1.8.1.7	glutathione-disulfide reductase
1.8.4.1	glutathione-homocystine transhydrogenase
1.14.13.85	glyceollin synthase
1.2.1.59	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating)
1.2.1.9	glyceraldehyde-3-phosphate dehydrogenase (NADP+)
1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
1.2.7.6	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)
1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
2.7.1.B2 (preliminary BRENDA-supplied EC number)	glycerate 2-kinase
1.1.1.29	glycerate dehydrogenase
2.7.1.31	glycerate kinase
1.1.1.156	glycerol 2-dehydrogenase (NADP+)
4.2.1.30	glycerol dehydratase
1.1.1.6	glycerol dehydrogenase
1.1.1.72	glycerol dehydrogenase (NADP+)
1.1.99.22	glycerol dehydrogenase (acceptor)
2.7.1.30	glycerol kinase
3.1.4.42	glycerol-1,2-cyclic-phosphate 2-phosphodiesterase
3.1.3.21	glycerol-1-phosphatase
1.1.1.261	glycerol-1-phosphate dehydrogenase [NAD(P)+]
3.1.3.19	glycerol-2-phosphatase
1.1.1.177	glycerol-3-phosphate 1-dehydrogenase (NADP+)
2.3.1.15	glycerol-3-phosphate O-acyltransferase
2.7.7.39	glycerol-3-phosphate cytidylyltransferase
1.1.5.3	glycerol-3-phosphate dehydrogenase
1.1.1.8	glycerol-3-phosphate dehydrogenase (NAD+)
1.1.1.94	glycerol-3-phosphate dehydrogenase [NAD(P)+]
1.1.3.21	glycerol-3-phosphate oxidase
2.7.1.142	glycerol-3-phosphate-glucose phosphotransferase
3.6.3.20	glycerol-3-phosphate-transporting ATPase
2.7.1.29	glycerone kinase
2.3.1.42	glycerone-phosphate O-acyltransferase
3.1.4.38	glycerophosphocholine cholinephosphodiesterase
3.1.4.2	glycerophosphocholine phosphodiesterase
3.1.4.46	glycerophosphodiester phosphodiesterase
3.1.4.44	glycerophosphoinositol glycerophosphodiesterase
3.1.4.43	glycerophosphoinositol inositolphosphodiesterase
1.14.16.5	glyceryl-ether monooxygenase
2.3.1.29	glycine C-acetyltransferase
2.3.1.13	glycine N-acyltransferase
2.3.1.71	glycine N-benzoyltransferase
2.1.1.20	glycine N-methyltransferase
2.1.4.1	glycine amidinotransferase
1.4.1.10	glycine dehydrogenase
1.4.99.5	glycine dehydrogenase (cyanide-forming)
1.4.2.1	glycine dehydrogenase (cytochrome)
1.4.4.2	glycine dehydrogenase (decarboxylating)
2.1.2.4	glycine formimidoyltransferase
2.1.2.1	glycine hydroxymethyltransferase
1.4.3.19	glycine oxidase
1.21.4.2	glycine reductase
2.6.1.4	glycine transaminase
2.6.1.35	glycine-oxaloacetate transaminase
6.1.1.14	glycine-tRNA ligase
2.1.1.156	glycine/sarcosine N-methyltransferase
2.1.1.162	glycine/sarcosine/dimethylglycine N-methyltransferase
2.8.2.34	glycochenodeoxycholate sulfotransferase
2.4.1.11	glycogen(starch) synthase
2.4.1.186	glycogenin glucosyltransferase
1.2.1.21	glycolaldehyde dehydrogenase
1.1.99.14	glycolate dehydrogenase
2.4.1.131	glycolipid 2-alpha-mannosyltransferase
2.4.1.132	glycolipid 3-alpha-mannosyltransferase
3.2.1.97	glycopeptide alpha-N-acetylgalactosaminidase
2.4.2.38	glycoprotein 2-beta-D-xylosyltransferase
2.4.1.214	glycoprotein 3-alpha-L-fucosyltransferase
2.4.1.68	glycoprotein 6-alpha-L-fucosyltransferase
